# Forces      
# CofR        : (2.875000e-01 1.270000e-01 2.286000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-1.237741e-03 -4.438910e-03 9.253834e-01)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.925267e-02 1.141364e-03 2.860370e-05))
1             	((-1.314009e-01 -5.014236e-01 1.582610e+01) (-1.300267e-03 -5.771542e-03 9.930309e-01)) ((1.178073e-01 2.334866e-02 5.965575e-03) (2.067415e-02 1.200758e-03 1.024983e-05))
2             	((-2.451251e-01 -3.482670e-01 3.585492e+01) (-9.057506e-04 -5.514676e-03 1.024803e+00)) ((2.316239e-01 3.918412e-02 1.247801e-02) (2.139802e-02 1.319316e-03 -4.226316e-05))
3             	((-3.571655e-01 -1.667387e-01 4.647844e+01) (-6.239867e-05 -3.422030e-03 1.016236e+00)) ((2.564113e-01 5.832724e-02 2.897303e-02) (2.134380e-02 1.225249e-03 -3.076724e-06))
4             	((-4.637481e-01 -9.948939e-02 4.712921e+01) (2.487744e-04 -1.748090e-03 9.871696e-01)) ((2.012230e-01 6.679453e-02 4.564754e-02) (2.099142e-02 1.569053e-03 -1.133696e-04))
5             	((-5.599484e-01 -2.072407e-01 4.043818e+01) (5.739511e-04 -8.648058e-04 9.525947e-01)) ((9.000615e-02 6.400484e-02 6.027644e-02) (2.062588e-02 1.559753e-03 -2.191295e-04))
6             	((-6.381393e-01 -4.832472e-01 3.057401e+01) (7.393885e-04 -9.995034e-04 9.227539e-01)) ((-3.621474e-02 5.188057e-02 7.889571e-02) (2.046914e-02 1.574258e-03 -3.024266e-04))
7             	((-6.342938e-01 -5.781149e-01 2.222077e+01) (1.041972e-03 -1.492945e-03 9.017925e-01)) ((-1.293983e-01 4.274407e-02 9.420331e-02) (2.049335e-02 1.607354e-03 -3.340924e-04))
8             	((-5.603675e-01 -1.680331e-01 1.812927e+01) (1.449536e-03 -1.287045e-03 8.872981e-01)) ((-1.751185e-01 4.043639e-02 9.836154e-02) (2.061429e-02 1.625824e-03 -3.423299e-04))
9             	((-4.473414e-01 6.172035e-01 1.812449e+01) (1.471365e-03 -3.906830e-04 8.761923e-01)) ((-1.865269e-01 4.061168e-02 9.573496e-02) (2.067031e-02 1.620910e-03 -3.342711e-04))
10            	((-2.977112e-01 1.652538e+00 2.067362e+01) (1.430884e-03 1.028241e-03 8.655006e-01)) ((-1.848226e-01 4.448018e-02 8.257692e-02) (2.066584e-02 1.582095e-03 -3.277944e-04))
11            	((-1.474458e-01 2.711410e+00 2.412081e+01) (1.479102e-03 2.429816e-03 8.531185e-01)) ((-1.876333e-01 4.829715e-02 6.169586e-02) (2.053725e-02 1.551387e-03 -3.368018e-04))
12            	((-4.877425e-02 3.406705e+00 2.667954e+01) (1.239516e-03 3.764903e-03 8.395394e-01)) ((-1.966636e-01 4.930296e-02 3.815002e-02) (2.029980e-02 1.466645e-03 -3.464140e-04))
13            	((-4.543353e-02 3.602642e+00 2.738129e+01) (1.009298e-03 4.903845e-03 8.252143e-01)) ((-2.033733e-01 4.680247e-02 2.080126e-02) (2.003320e-02 1.413389e-03 -3.549572e-04))
14            	((-1.030970e-01 3.485729e+00 2.647806e+01) (7.169328e-04 5.885736e-03 8.109430e-01)) ((-2.043638e-01 4.264460e-02 1.420204e-02) (1.980263e-02 1.419256e-03 -3.553402e-04))
