# Forces      
# CofR        : (2.875000e-01 1.270000e-01 2.286000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-1.917478e-03 -2.652018e-03 8.488471e-01)) ((0.000000e+00 0.000000e+00 0.000000e+00) (1.889718e-02 5.258370e-04 2.513889e-04))
1             	((-1.711434e-01 -1.470192e-01 1.589325e+01) (-1.624105e-03 -6.169593e-03 9.067947e-01)) ((1.197676e-01 -3.313491e-02 -2.831508e-02) (2.043790e-02 5.423173e-04 2.047506e-04))
2             	((-3.583422e-01 5.270649e-01 3.499724e+01) (-1.409906e-03 -6.528486e-03 9.295175e-01)) ((2.278476e-01 -9.398971e-02 -3.425645e-02) (2.110403e-02 5.469357e-04 2.575018e-04))
3             	((-5.018005e-01 9.421189e-01 4.525011e+01) (-8.095973e-04 -5.667627e-03 9.150475e-01)) ((2.539868e-01 -1.208031e-01 -2.354019e-02) (2.100159e-02 6.685150e-04 2.357533e-04))
4             	((-5.533065e-01 1.222981e+00 4.599350e+01) (-4.798348e-04 -4.245228e-03 8.810333e-01)) ((1.807850e-01 -1.074998e-01 4.435434e-03) (2.058008e-02 8.558968e-04 1.413045e-04))
5             	((-5.280253e-01 1.248822e+00 3.965834e+01) (4.437953e-04 -3.152584e-03 8.418668e-01)) ((5.342907e-02 -6.374479e-02 2.890217e-02) (2.003491e-02 1.096410e-03 1.054538e-04))
6             	((-4.619423e-01 1.070833e+00 3.045359e+01) (7.650732e-04 -2.895639e-03 8.055239e-01)) ((-7.011222e-02 -1.554168e-02 3.691016e-02) (1.961048e-02 1.504710e-03 5.783280e-05))
7             	((-3.896178e-01 9.356593e-01 2.275096e+01) (8.415529e-04 -2.683554e-03 7.788834e-01)) ((-1.504027e-01 1.654103e-02 2.708696e-02) (1.931777e-02 1.567002e-03 -3.558072e-05))
8             	((-3.513979e-01 1.118023e+00 1.887719e+01) (7.005216e-04 -1.360223e-03 7.618701e-01)) ((-1.849517e-01 2.313439e-02 1.514364e-02) (1.912979e-02 1.546689e-03 -8.609114e-05))
9             	((-3.612898e-01 1.607782e+00 1.854342e+01) (1.133765e-03 -3.174492e-04 7.492219e-01)) ((-1.876929e-01 9.885305e-03 8.844022e-03) (1.908489e-02 1.461506e-03 -2.307523e-04))
10            	((-3.956258e-01 2.337433e+00 2.061414e+01) (1.003098e-03 7.043373e-04 7.396529e-01)) ((-1.785085e-01 -1.329201e-02 9.750474e-03) (1.898137e-02 1.276614e-03 -2.961069e-04))
11            	((-4.249111e-01 3.128365e+00 2.351784e+01) (1.013119e-03 1.562979e-03 7.300731e-01)) ((-1.727828e-01 -3.474394e-02 1.429556e-02) (1.879417e-02 1.075642e-03 -3.253925e-04))
12            	((-4.257923e-01 3.798839e+00 2.563679e+01) (8.822029e-04 2.517214e-03 7.194515e-01)) ((-1.683625e-01 -4.700469e-02 2.008538e-02) (1.859371e-02 9.679674e-04 -3.378227e-04))
13            	((-3.934926e-01 4.224362e+00 2.617381e+01) (8.657990e-04 3.379084e-03 7.072966e-01)) ((-1.622664e-01 -5.129235e-02 2.319161e-02) (1.830202e-02 9.105687e-04 -3.285179e-04))
14            	((-3.608831e-01 4.408637e+00 2.535411e+01) (8.156013e-04 3.883636e-03 6.938932e-01)) ((-1.568080e-01 -4.948960e-02 2.478063e-02) (1.795968e-02 9.194163e-04 -3.143231e-04))
15            	((-3.508800e-01 4.441060e+00 2.376582e+01) (8.003022e-04 4.097004e-03 6.803022e-01)) ((-1.493920e-01 -4.273376e-02 2.663413e-02) (1.759019e-02 9.993246e-04 -3.132049e-04))
16            	((-3.690598e-01 4.389260e+00 2.202053e+01) (9.120366e-04 4.290390e-03 6.669269e-01)) ((-1.454150e-01 -3.318884e-02 2.881819e-02) (1.715870e-02 1.123198e-03 -3.276344e-04))
17            	((-4.078947e-01 4.320341e+00 2.068352e+01) (1.010020e-03 4.450298e-03 6.541242e-01)) ((-1.502015e-01 -2.487213e-02 3.211334e-02) (1.673392e-02 1.230039e-03 -3.471737e-04))
18            	((-4.402716e-01 4.276516e+00 1.998373e+01) (1.198252e-03 4.720134e-03 6.416902e-01)) ((-1.613320e-01 -1.954715e-02 3.669054e-02) (1.628767e-02 1.295899e-03 -3.766462e-04))
19            	((-4.430697e-01 4.254635e+00 1.982922e+01) (1.519066e-03 4.953049e-03 6.296266e-01)) ((-1.731215e-01 -1.645412e-02 4.252957e-02) (1.583755e-02 1.333594e-03 -4.331262e-04))
20            	((-4.076305e-01 4.247376e+00 2.002158e+01) (1.783571e-03 5.152069e-03 6.180818e-01)) ((-1.794397e-01 -1.508120e-02 4.806870e-02) (1.540773e-02 1.357256e-03 -4.820747e-04))
21            	((-3.391174e-01 4.257135e+00 2.032764e+01) (1.943883e-03 5.350152e-03 6.072061e-01)) ((-1.757757e-01 -1.463014e-02 5.191455e-02) (1.500791e-02 1.363074e-03 -5.201658e-04))
