# Forces      
# CofR        : (2.875000e-01 1.270000e-01 2.286000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-5.478186e-04 -6.858689e-03 1.011032e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (2.205144e-02 1.509906e-03 8.268110e-05))
1             	((2.981408e-02 -8.080211e-01 1.478036e+01) (-9.943987e-04 -9.041110e-03 1.088256e+00)) ((1.339270e-01 4.299364e-02 1.169400e-02) (2.371099e-02 1.691509e-03 1.176555e-04))
2             	((5.935527e-02 -1.044339e+00 3.456634e+01) (-1.741907e-03 -1.088588e-02 1.130907e+00)) ((2.716231e-01 5.301314e-02 2.793718e-02) (2.474359e-02 1.778719e-03 7.094981e-05))
3             	((8.551130e-02 -9.382636e-01 4.671065e+01) (-2.723883e-03 -9.082937e-03 1.133217e+00)) ((3.170683e-01 4.498418e-02 3.122666e-02) (2.504871e-02 1.825239e-03 -1.975309e-05))
4             	((7.560611e-02 -7.231269e-01 4.628642e+01) (-3.380857e-03 -7.873789e-03 1.110612e+00)) ((2.665943e-01 3.295430e-02 2.210522e-02) (2.498992e-02 1.866121e-03 -6.285550e-05))
5             	((8.198691e-02 -5.105311e-01 3.823026e+01) (-3.379669e-03 -6.826220e-03 1.080785e+00)) ((1.616234e-01 3.015279e-02 5.996695e-03) (2.471409e-02 1.994541e-03 -1.116156e-04))
6             	((9.910852e-02 -5.727019e-01 2.734111e+01) (-3.514294e-03 -5.095231e-03 1.056254e+00)) ((4.418320e-02 4.020719e-02 -8.713128e-03) (2.464576e-02 2.049416e-03 -1.069498e-04))
7             	((1.115308e-01 -7.049078e-01 1.882727e+01) (-3.069471e-03 -3.528823e-03 1.039148e+00)) ((-5.322726e-02 5.665119e-02 -1.378798e-02) (2.481530e-02 1.966421e-03 -1.238744e-04))
8             	((1.265237e-01 -5.897362e-01 1.539598e+01) (-2.601474e-03 -1.484281e-03 1.029814e+00)) ((-1.164490e-01 6.494540e-02 -5.551116e-03) (2.496442e-02 1.755868e-03 -1.648197e-04))
9             	((1.241121e-01 -2.132401e-01 1.646544e+01) (-2.033999e-03 5.008311e-04 1.023163e+00)) ((-1.502848e-01 6.110242e-02 1.235218e-02) (2.513781e-02 1.600242e-03 -1.886250e-04))
10            	((9.039652e-02 4.469986e-01 2.013946e+01) (-1.716201e-03 2.257087e-03 1.014984e+00)) ((-1.714752e-01 5.076594e-02 3.276232e-02) (2.515397e-02 1.507524e-03 -2.251135e-04))
11            	((2.342985e-02 1.241427e+00 2.443243e+01) (-1.527092e-03 3.687658e-03 1.003898e+00)) ((-1.846118e-01 4.008123e-02 5.112741e-02) (2.504074e-02 1.410521e-03 -2.636158e-04))
12            	((-4.628275e-02 1.843424e+00 2.735044e+01) (-1.491544e-03 4.707967e-03 9.896077e-01)) ((-1.857157e-01 3.523738e-02 5.887809e-02) (2.484936e-02 1.354977e-03 -2.951575e-04))
13            	((-9.234553e-02 2.082846e+00 2.792025e+01) (-1.577256e-03 5.644984e-03 9.738884e-01)) ((-1.774998e-01 3.967174e-02 5.447365e-02) (2.464943e-02 1.337513e-03 -3.206722e-04))
