# Forces      
# CofR        : (2.875000e-01 1.270000e-01 2.286000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-9.378175e-05 -6.041586e-03 1.108063e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (2.411893e-02 8.962598e-04 8.066945e-05))
1             	((3.174727e-02 -6.449562e-01 1.624814e+01) (-2.286859e-04 -6.877773e-03 1.188904e+00)) ((1.749114e-01 1.178715e-02 -1.128338e-02) (2.575216e-02 1.004478e-03 9.908623e-05))
2             	((2.670156e-02 -1.371203e+00 3.490194e+01) (-2.049928e-04 -8.266918e-03 1.240267e+00)) ((3.387192e-01 1.891255e-02 -2.545214e-02) (2.687164e-02 1.012552e-03 1.852771e-04))
3             	((-4.181973e-02 -1.854038e+00 4.590335e+01) (3.058641e-04 -6.978563e-03 1.252061e+00)) ((4.039812e-01 2.490353e-02 -3.481902e-02) (2.729156e-02 9.734974e-04 2.713089e-04))
4             	((-9.176036e-02 -1.869508e+00 4.464844e+01) (5.227066e-04 -4.793591e-03 1.238575e+00)) ((3.475932e-01 2.373406e-02 -3.450589e-02) (2.736686e-02 8.477854e-04 3.193494e-04))
5             	((-1.309273e-01 -1.617661e+00 3.609863e+01) (6.971470e-04 -3.095582e-03 1.217953e+00)) ((2.287667e-01 2.468671e-02 -2.453150e-02) (2.739784e-02 8.977262e-04 3.877752e-04))
6             	((-2.014102e-01 -1.532958e+00 2.365152e+01) (9.782332e-04 -1.827898e-03 1.199699e+00)) ((8.382206e-02 3.392650e-02 -7.581775e-03) (2.750947e-02 1.007926e-03 3.693564e-04))
7             	((-1.717168e-01 -1.206018e+00 1.686094e+01) (9.950553e-04 -6.399109e-04 1.188979e+00)) ((-5.786873e-03 3.367113e-02 4.412439e-03) (2.778269e-02 1.036537e-03 2.691624e-04))
8             	((-1.203489e-01 -8.115743e-01 1.527148e+01) (1.094078e-03 8.383287e-05 1.184665e+00)) ((-5.065530e-02 2.638167e-02 1.346782e-02) (2.815424e-02 1.016564e-03 1.750602e-04))
9             	((-6.089341e-02 -4.037490e-01 1.766428e+01) (9.610978e-04 8.907291e-04 1.181441e+00)) ((-6.627543e-02 1.679149e-02 1.976931e-02) (2.849854e-02 1.062539e-03 1.279667e-04))
10            	((-7.073606e-03 5.115812e-02 2.198498e+01) (8.393532e-04 1.874545e-03 1.175490e+00)) ((-7.619723e-02 7.327747e-03 2.678321e-02) (2.867097e-02 1.055595e-03 1.198548e-04))
11            	((1.788004e-02 4.343582e-01 2.605743e+01) (9.022108e-04 2.959406e-03 1.165350e+00)) ((-9.493157e-02 2.941532e-03 3.337598e-02) (2.866995e-02 1.052497e-03 1.285841e-04))
12            	((7.159745e-03 5.782731e-01 2.826661e+01) (9.029152e-04 4.244603e-03 1.151482e+00)) ((-1.224670e-01 8.084267e-03 3.490741e-02) (2.854024e-02 1.023601e-03 1.293556e-04))
13            	((-3.842447e-02 4.957439e-01 2.812957e+01) (1.050489e-03 5.721384e-03 1.135045e+00)) ((-1.487773e-01 2.157408e-02 3.165648e-02) (2.836542e-02 1.011830e-03 1.187128e-04))
14            	((-1.056810e-01 3.659333e-01 2.650527e+01) (1.141957e-03 7.319527e-03 1.117932e+00)) ((-1.702541e-01 3.418735e-02 2.671246e-02) (2.821110e-02 1.027267e-03 9.408625e-05))
15            	((-1.832163e-01 2.878837e-01 2.446821e+01) (1.176533e-03 8.937905e-03 1.101095e+00)) ((-1.884833e-01 4.126411e-02 2.179133e-02) (2.809894e-02 1.005138e-03 8.202717e-05))
16            	((-2.522459e-01 3.363242e-01 2.274696e+01) (1.228625e-03 1.054465e-02 1.085129e+00)) ((-2.042736e-01 4.024262e-02 1.908537e-02) (2.799327e-02 9.890606e-04 5.526931e-05))
17            	((-3.008550e-01 6.196449e-01 2.135035e+01) (1.269918e-03 1.203283e-02 1.070356e+00)) ((-2.182973e-01 2.757793e-02 2.065891e-02) (2.789051e-02 9.676426e-04 1.662724e-05))
18            	((-3.134187e-01 8.586792e-01 2.133499e+01) (1.178976e-03 1.331679e-02 1.056405e+00)) ((-2.322040e-01 1.630270e-02 2.459781e-02) (2.777173e-02 9.525178e-04 8.547345e-06))
19            	((-2.959222e-01 1.229019e+00 2.184899e+01) (1.180731e-03 1.444259e-02 1.042641e+00)) ((-2.488252e-01 -2.752024e-04 3.165284e-02) (2.756996e-02 9.468344e-04 1.061213e-05))
20            	((-2.972260e-01 1.391971e+00 2.239303e+01) (1.175113e-03 1.558356e-02 1.028977e+00)) ((-2.594974e-01 -6.924708e-03 3.473012e-02) (2.730671e-02 9.270391e-04 2.043741e-05))
21            	((-3.040323e-01 1.496847e+00 2.282840e+01) (1.171810e-03 1.672244e-02 1.015274e+00)) ((-2.664520e-01 -8.670706e-03 3.517869e-02) (2.700154e-02 9.085178e-04 3.305498e-05))
22            	((-3.171732e-01 1.567762e+00 2.303666e+01) (1.140704e-03 1.781288e-02 1.001847e+00)) ((-2.681041e-01 -5.581184e-03 3.230484e-02) (2.667207e-02 8.758891e-04 3.695084e-05))
23            	((-3.321638e-01 1.649926e+00 2.299529e+01) (1.150041e-03 1.884578e-02 9.887460e-01)) ((-2.639035e-01 6.794960e-04 2.698527e-02) (2.632033e-02 8.466115e-04 3.596538e-05))
24            	((-3.411644e-01 1.777476e+00 2.276919e+01) (1.198440e-03 1.985957e-02 9.761749e-01)) ((-2.557375e-01 6.510810e-03 2.110281e-02) (2.595870e-02 8.066462e-04 3.219132e-05))
25            	((-3.403614e-01 1.957748e+00 2.245724e+01) (1.291604e-03 2.084610e-02 9.642081e-01)) ((-2.468020e-01 9.000608e-03 1.670752e-02) (2.559264e-02 7.590527e-04 2.611134e-05))
26            	((-3.341293e-01 2.176529e+00 2.214127e+01) (1.360440e-03 2.180979e-02 9.527721e-01)) ((-2.388814e-01 7.027487e-03 1.433626e-02) (2.523720e-02 7.174994e-04 1.310215e-05))
27            	((-3.247703e-01 2.404122e+00 2.186850e+01) (1.409296e-03 2.280439e-02 9.417529e-01)) ((-2.319666e-01 1.373394e-03 1.357151e-02) (2.488228e-02 6.782986e-04 -4.856784e-06))
28            	((-3.140778e-01 2.609751e+00 2.165393e+01) (1.447201e-03 2.379731e-02 9.311292e-01)) ((-2.257075e-01 -5.632346e-03 1.384924e-02) (2.452601e-02 6.378458e-04 -2.671489e-05))
29            	((-3.060773e-01 2.772240e+00 2.148840e+01) (1.473451e-03 2.482747e-02 9.207833e-01)) ((-2.201138e-01 -1.193941e-02 1.472197e-02) (2.416364e-02 6.041263e-04 -5.271624e-05))
30            	((-3.027534e-01 2.890667e+00 2.135121e+01) (1.501750e-03 2.591236e-02 9.106869e-01)) ((-2.156683e-01 -1.616649e-02 1.591523e-02) (2.379393e-02 5.823692e-04 -7.755635e-05))
31            	((-3.028310e-01 2.973067e+00 2.122566e+01) (1.530740e-03 2.706877e-02 9.007999e-01)) ((-2.132707e-01 -1.803377e-02 1.723543e-02) (2.342235e-02 5.680712e-04 -1.009177e-04))
32            	((-3.035234e-01 3.029712e+00 2.110491e+01) (1.579456e-03 2.825967e-02 8.911317e-01)) ((-2.138503e-01 -1.797431e-02 1.840559e-02) (2.305687e-02 5.551367e-04 -1.248073e-04))
33            	((-3.027679e-01 3.074556e+00 2.098768e+01) (1.654148e-03 2.946443e-02 8.817712e-01)) ((-2.176121e-01 -1.701112e-02 1.882614e-02) (2.269828e-02 5.375602e-04 -1.363635e-04))
34            	((-3.010327e-01 3.117810e+00 2.087270e+01) (1.762728e-03 3.064485e-02 8.726917e-01)) ((-2.236334e-01 -1.611564e-02 1.818409e-02) (2.234975e-02 5.190090e-04 -1.497938e-04))
