# Forces      
# CofR        : (2.875000e-01 1.270000e-01 2.286000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-1.650322e-03 -5.918547e-03 1.233845e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (2.567023e-02 1.521818e-03 3.813827e-05))
1             	((-2.351742e-01 -9.103203e-01 2.791307e+01) (-1.772152e-03 -7.762838e-03 1.346176e+00)) ((2.078601e-01 4.131250e-02 1.027730e-02) (2.821397e-02 1.630862e-03 1.504229e-05))
2             	((-4.345709e-01 -6.283358e-01 6.320175e+01) (-1.154792e-03 -7.605470e-03 1.414561e+00)) ((4.097791e-01 6.934126e-02 2.088048e-02) (2.991062e-02 1.771719e-03 -5.694461e-05))
3             	((-6.292263e-01 -2.677839e-01 8.191177e+01) (2.464051e-04 -4.890642e-03 1.422966e+00)) ((4.536079e-01 1.027812e-01 4.979870e-02) (3.043179e-02 1.468221e-03 3.257793e-05))
4             	((-8.141461e-01 -1.203505e-01 8.298918e+01) (5.438177e-04 -2.487098e-03 1.398920e+00)) ((3.529009e-01 1.176383e-01 8.057061e-02) (3.046188e-02 1.950996e-03 -1.423793e-04))
5             	((-9.799987e-01 -2.910517e-01 7.112245e+01) (1.004080e-03 -1.286252e-03 1.364699e+00)) ((1.517600e-01 1.129645e-01 1.074683e-01) (3.020174e-02 2.181555e-03 -3.186337e-04))
6             	((-1.112045e+00 -7.497344e-01 5.368110e+01) (1.275709e-03 -1.610629e-03 1.334052e+00)) ((-7.542749e-02 9.183371e-02 1.406026e-01) (3.029148e-02 2.327317e-03 -4.542395e-04))
7             	((-1.101070e+00 -8.911742e-01 3.893533e+01) (1.775157e-03 -2.327788e-03 1.313666e+00)) ((-2.422921e-01 7.638128e-02 1.669893e-01) (3.065952e-02 2.411152e-03 -5.039159e-04))
8             	((-9.770345e-01 -1.488244e-01 3.173614e+01) (2.389593e-03 -2.029602e-03 1.300633e+00)) ((-3.240610e-01 7.204748e-02 1.735779e-01) (3.116529e-02 2.483906e-03 -5.131999e-04))
9             	((-7.836483e-01 1.237706e+00 3.175701e+01) (2.375271e-03 -6.525164e-04 1.291238e+00)) ((-3.444036e-01 7.226600e-02 1.691963e-01) (3.152434e-02 2.502728e-03 -4.958869e-04))
10            	((-5.262944e-01 3.041422e+00 3.629573e+01) (2.309484e-03 1.479356e-03 1.281252e+00)) ((-3.403571e-01 7.847218e-02 1.460260e-01) (3.177542e-02 2.472722e-03 -4.854020e-04))
11            	((-2.670774e-01 4.865822e+00 4.242452e+01) (2.502889e-03 3.419085e-03 1.267437e+00)) ((-3.431511e-01 8.408287e-02 1.094220e-01) (3.185214e-02 2.520632e-03 -5.036557e-04))
12            	((-9.831180e-02 6.038727e+00 4.699362e+01) (2.014425e-03 5.420259e-03 1.251501e+00)) ((-3.565308e-01 8.444899e-02 6.844476e-02) (3.168775e-02 2.375016e-03 -5.154141e-04))
13            	((-9.779662e-02 6.351572e+00 4.827639e+01) (1.638802e-03 7.144687e-03 1.233646e+00)) ((-3.660704e-01 7.909195e-02 3.719400e-02) (3.144789e-02 2.310295e-03 -5.070425e-04))
14            	((-1.979286e-01 6.145419e+00 4.669987e+01) (1.101688e-03 8.609749e-03 1.215420e+00)) ((-3.673265e-01 7.264425e-02 2.556368e-02) (3.125465e-02 2.327714e-03 -5.013401e-04))
15            	((-3.566476e-01 5.741177e+00 4.359592e+01) (1.008138e-03 9.978064e-03 1.197656e+00)) ((-3.559927e-01 6.544743e-02 3.149930e-02) (3.105020e-02 2.343105e-03 -4.887650e-04))
16            	((-5.250969e-01 5.367968e+00 4.014028e+01) (1.056106e-03 1.133761e-02 1.180770e+00)) ((-3.353373e-01 5.981698e-02 5.005584e-02) (3.079210e-02 2.357434e-03 -4.731185e-04))
17            	((-6.615000e-01 5.230343e+00 3.746761e+01) (1.263642e-03 1.272855e-02 1.164208e+00)) ((-3.183838e-01 5.716538e-02 7.072843e-02) (3.052002e-02 2.291906e-03 -4.581421e-04))
18            	((-7.343633e-01 5.396038e+00 3.610919e+01) (1.500523e-03 1.400099e-02 1.148488e+00)) ((-3.146371e-01 5.392663e-02 8.449480e-02) (3.019363e-02 2.330862e-03 -4.772955e-04))
19            	((-7.565692e-01 5.768298e+00 3.589417e+01) (1.730699e-03 1.534510e-02 1.132886e+00)) ((-3.250474e-01 5.004780e-02 8.629420e-02) (2.980887e-02 2.390564e-03 -5.013018e-04))
20            	((-7.548161e-01 6.241756e+00 3.637964e+01) (1.868021e-03 1.662055e-02 1.117383e+00)) ((-3.440501e-01 4.482494e-02 7.830426e-02) (2.937060e-02 2.423584e-03 -4.979032e-04))
21            	((-7.181541e-01 6.745111e+00 3.713887e+01) (2.050422e-03 1.754093e-02 1.101894e+00)) ((-3.605865e-01 3.889303e-02 6.372428e-02) (2.883887e-02 2.445389e-03 -5.168433e-04))
22            	((-6.367989e-01 7.174688e+00 3.774183e+01) (2.308733e-03 1.816268e-02 1.086756e+00)) ((-3.612672e-01 3.391430e-02 4.772420e-02) (2.828057e-02 2.487456e-03 -5.520184e-04))
23            	((-5.170625e-01 7.442336e+00 3.789825e+01) (2.442048e-03 1.870949e-02 1.072157e+00)) ((-3.406229e-01 3.155635e-02 3.529782e-02) (2.772845e-02 2.553559e-03 -5.771494e-04))
24            	((-3.861729e-01 7.528475e+00 3.757836e+01) (2.476657e-03 1.917935e-02 1.058050e+00)) ((-3.056208e-01 3.337722e-02 2.841535e-02) (2.718721e-02 2.610675e-03 -5.681289e-04))
25            	((-2.627768e-01 7.462762e+00 3.694037e+01) (2.491550e-03 1.959192e-02 1.044205e+00)) ((-2.657476e-01 3.787919e-02 2.727010e-02) (2.667944e-02 2.637418e-03 -5.359196e-04))
26            	((-1.604772e-01 7.269550e+00 3.616713e+01) (2.597997e-03 1.998288e-02 1.030530e+00)) ((-2.283909e-01 4.312299e-02 3.140441e-02) (2.618293e-02 2.605646e-03 -4.832408e-04))
27            	((-9.716673e-02 6.966154e+00 3.541138e+01) (2.580522e-03 2.040669e-02 1.017150e+00)) ((-1.988597e-01 4.705219e-02 3.893479e-02) (2.569305e-02 2.559991e-03 -4.242306e-04))
28            	((-7.824297e-02 6.602067e+00 3.478711e+01) (2.419536e-03 2.074268e-02 1.003917e+00)) ((-1.807128e-01 4.868984e-02 4.715953e-02) (2.521497e-02 2.521012e-03 -3.599926e-04))
29            	((-9.486455e-02 6.239477e+00 3.434561e+01) (2.183207e-03 2.104697e-02 9.909483e-01)) ((-1.725094e-01 4.810420e-02 5.335792e-02) (2.473406e-02 2.486453e-03 -2.921675e-04))
30            	((-1.262872e-01 5.926336e+00 3.406708e+01) (1.894537e-03 2.113773e-02 9.782759e-01)) ((-1.695561e-01 4.627658e-02 5.592411e-02) (2.425295e-02 2.458984e-03 -2.322088e-04))
31            	((-1.506824e-01 5.685265e+00 3.388853e+01) (1.580531e-03 2.105144e-02 9.660200e-01)) ((-1.659386e-01 4.297745e-02 5.390496e-02) (2.377167e-02 2.419813e-03 -1.880810e-04))
32            	((-1.527284e-01 5.523282e+00 3.374333e+01) (1.194749e-03 2.096328e-02 9.541960e-01)) ((-1.573426e-01 3.859185e-02 4.767691e-02) (2.328104e-02 2.379496e-03 -1.635138e-04))
33            	((-1.256417e-01 5.429151e+00 3.357298e+01) (8.758888e-04 2.082252e-02 9.427457e-01)) ((-1.415770e-01 3.428176e-02 3.921622e-02) (2.279653e-02 2.348643e-03 -1.472328e-04))
