# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-7.075913e-02 -2.384141e-02 3.970143e+01) (-3.996370e-05 4.457662e-06 3.388764e-03)) ((7.614256e-03 -3.510148e-01 -3.019448e-03) (-1.092456e-06 -3.660275e-05 2.290203e-06))
0.02          	((-7.055607e-02 -2.189284e-02 3.898623e+01) (-7.880911e-05 7.073055e-06 6.777363e-03)) ((7.317838e-03 -3.450430e-01 -2.754688e-03) (-2.127478e-06 -7.358528e-05 4.413415e-06))
0.03          	((-7.202997e-02 -2.266003e-02 3.921987e+01) (-1.171101e-04 9.022844e-06 1.017137e-02)) ((7.355844e-03 -3.466548e-01 -2.628666e-03) (-3.104095e-06 -1.108146e-04 6.328002e-06))
0.04          	((-7.069378e-02 -2.286212e-02 3.903482e+01) (-1.552668e-04 1.091826e-05 1.355242e-02)) ((7.306715e-03 -3.447352e-01 -2.480678e-03) (-4.158793e-06 -1.481143e-04 7.890807e-06))
0.05          	((-6.941313e-02 -2.301822e-02 3.883727e+01) (-1.931877e-04 1.259139e-05 1.692325e-02)) ((7.228976e-03 -3.421592e-01 -2.321774e-03) (-5.172266e-06 -1.854367e-04 8.962657e-06))
0.06          	((-6.868045e-02 -2.321949e-02 3.864129e+01) (-2.310595e-04 1.432997e-05 2.029182e-02)) ((7.152975e-03 -3.392696e-01 -2.208878e-03) (-6.285093e-06 -2.228369e-04 9.566716e-06))
0.07          	((-6.828966e-02 -2.337110e-02 3.842954e+01) (-2.690139e-04 1.577579e-05 2.366377e-02)) ((7.018831e-03 -3.359984e-01 -2.135965e-03) (-7.409822e-06 -2.604348e-04 9.605834e-06))
0.08          	((-6.698945e-02 -2.356249e-02 3.818669e+01) (-3.070198e-04 1.719473e-05 2.704230e-02)) ((6.897947e-03 -3.321149e-01 -2.077271e-03) (-8.894962e-06 -2.981981e-04 9.194138e-06))
0.09          	((-6.580671e-02 -2.357981e-02 3.791028e+01) (-3.445881e-04 1.876466e-05 3.042583e-02)) ((6.766449e-03 -3.276549e-01 -1.944150e-03) (-1.026639e-05 -3.365391e-04 8.485564e-06))
0.1           	((-6.461235e-02 -2.345000e-02 3.760020e+01) (-3.824952e-04 1.934924e-05 3.380436e-02)) ((6.656832e-03 -3.226152e-01 -1.845715e-03) (-1.198578e-05 -3.749383e-04 7.511896e-06))
0.11          	((-6.328002e-02 -2.319048e-02 3.725371e+01) (-4.208498e-04 2.049568e-05 3.716832e-02)) ((6.458561e-03 -3.169926e-01 -1.760968e-03) (-1.372760e-05 -4.138310e-04 6.360511e-06))
0.12          	((-6.133306e-02 -2.368509e-02 3.686695e+01) (-4.612153e-04 2.248193e-05 4.050436e-02)) ((6.256291e-03 -3.107820e-01 -1.790859e-03) (-1.540870e-05 -4.540233e-04 5.036376e-06))
0.13          	((-5.944823e-02 -2.401565e-02 3.643637e+01) (-5.038991e-04 2.734706e-05 4.380243e-02)) ((6.074925e-03 -3.040772e-01 -1.780497e-03) (-1.706737e-05 -4.945987e-04 3.448155e-06))
0.14          	((-5.718720e-02 -2.365365e-02 3.595582e+01) (-5.474313e-04 3.160719e-05 4.704019e-02)) ((5.873004e-03 -2.969702e-01 -1.872433e-03) (-1.883871e-05 -5.358667e-04 1.536928e-06))
0.15          	((-5.517616e-02 -2.341795e-02 3.542072e+01) (-5.913624e-04 3.578038e-05 5.020746e-02)) ((5.616198e-03 -2.895165e-01 -2.107222e-03) (-2.053269e-05 -5.774734e-04 -6.390278e-07))
0.16          	((-5.324204e-02 -2.389427e-02 3.483246e+01) (-6.402557e-04 3.969507e-05 5.327978e-02)) ((5.326365e-03 -2.818633e-01 -2.245210e-03) (-2.249706e-05 -6.203732e-04 -2.578500e-06))
0.17          	((-5.062438e-02 -2.410641e-02 3.418738e+01) (-6.926486e-04 4.431014e-05 5.624675e-02)) ((5.045296e-03 -2.736934e-01 -2.497389e-03) (-2.338194e-05 -6.639187e-04 -4.103708e-06))
0.18          	((-4.884504e-02 -2.420839e-02 3.348500e+01) (-7.477078e-04 5.001963e-05 5.909220e-02)) ((4.853952e-03 -2.650678e-01 -2.760740e-03) (-2.345438e-05 -7.081862e-04 -5.053561e-06))
0.19          	((-4.762861e-02 -2.489106e-02 3.272931e+01) (-8.015420e-04 5.625326e-05 6.179714e-02)) ((4.411449e-03 -2.562077e-01 -3.110282e-03) (-2.477125e-05 -7.520620e-04 -5.509824e-06))
0.2           	((-4.624437e-02 -2.451140e-02 3.191444e+01) (-8.561851e-04 6.251335e-05 6.434560e-02)) ((4.192289e-03 -2.469282e-01 -3.488356e-03) (-2.507248e-05 -7.963720e-04 -5.629727e-06))
