# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-3.550052e-02 -1.354762e-02 1.983848e+01) (-4.934948e-05 -5.056980e-06 1.565944e-03)) ((-2.972317e-03 -1.752981e-01 -1.017741e-04) (7.691643e-07 -1.243166e-05 -6.657828e-07))
0.02          	((-3.638117e-02 -1.036733e-02 1.955902e+01) (-9.846566e-05 -1.279825e-05 3.105035e-03)) ((-3.154156e-03 -1.728767e-01 -3.407500e-04) (1.690808e-06 -2.478601e-05 -1.242542e-06))
0.03          	((-3.707715e-02 -1.189065e-02 1.975942e+01) (-1.472777e-04 -2.067550e-05 4.636989e-03)) ((-2.797582e-03 -1.746240e-01 -2.040792e-04) (2.569830e-06 -3.718631e-05 -1.775599e-06))
0.04          	((-3.645643e-02 -1.202148e-02 1.962829e+01) (-1.951698e-04 -2.818896e-05 6.150220e-03)) ((-2.679940e-03 -1.734380e-01 -2.025311e-04) (3.365407e-06 -4.958143e-05 -2.277619e-06))
0.05          	((-3.603028e-02 -1.243695e-02 1.948441e+01) (-2.420368e-04 -3.552003e-05 7.641559e-03)) ((-2.569644e-03 -1.720528e-01 -2.324033e-04) (4.116561e-06 -6.196989e-05 -2.757927e-06))
0.06          	((-3.509648e-02 -1.290434e-02 1.934001e+01) (-2.879436e-04 -4.247365e-05 9.111228e-03)) ((-2.474913e-03 -1.705105e-01 -2.058131e-04) (4.866204e-06 -7.434258e-05 -3.219226e-06))
0.07          	((-3.411716e-02 -1.325744e-02 1.918146e+01) (-3.329199e-04 -4.902614e-05 1.055991e-02)) ((-2.392910e-03 -1.687914e-01 -2.168560e-04) (5.633424e-06 -8.671269e-05 -3.648112e-06))
0.08          	((-3.357024e-02 -1.376863e-02 1.899862e+01) (-3.766266e-04 -5.509856e-05 1.198786e-02)) ((-2.320564e-03 -1.668049e-01 -2.226978e-04) (6.447996e-06 -9.903723e-05 -4.063600e-06))
0.09          	((-3.246568e-02 -1.412690e-02 1.878939e+01) (-4.198534e-04 -6.079622e-05 1.339543e-02)) ((-2.250116e-03 -1.644847e-01 -2.024411e-04) (7.240990e-06 -1.113423e-04 -4.457866e-06))
0.1           	((-3.119109e-02 -1.447485e-02 1.855530e+01) (-4.628381e-04 -6.605530e-05 1.478143e-02)) ((-2.170924e-03 -1.618740e-01 -1.629643e-04) (8.090543e-06 -1.237879e-04 -4.752412e-06))
0.11          	((-2.979651e-02 -1.467184e-02 1.829713e+01) (-5.051614e-04 -7.153444e-05 1.614538e-02)) ((-2.112997e-03 -1.589706e-01 -1.359302e-04) (9.079026e-06 -1.362919e-04 -5.091313e-06))
0.12          	((-2.835189e-02 -1.508428e-02 1.801502e+01) (-5.474147e-04 -7.649905e-05 1.748502e-02)) ((-2.087310e-03 -1.557624e-01 -1.290256e-04) (1.006688e-05 -1.489028e-04 -5.377245e-06))
0.13          	((-2.687783e-02 -1.526071e-02 1.770939e+01) (-5.885861e-04 -8.114763e-05 1.879800e-02)) ((-2.069000e-03 -1.522482e-01 -1.321100e-04) (1.099885e-05 -1.615387e-04 -5.760820e-06))
0.14          	((-2.527108e-02 -1.565711e-02 1.737937e+01) (-6.294924e-04 -8.446927e-05 2.008234e-02)) ((-2.052019e-03 -1.484364e-01 -1.520562e-04) (1.188788e-05 -1.744160e-04 -6.147901e-06))
0.15          	((-2.340915e-02 -1.573293e-02 1.702511e+01) (-6.703518e-04 -8.760920e-05 2.133516e-02)) ((-2.042307e-03 -1.444015e-01 -2.025176e-04) (1.286987e-05 -1.874399e-04 -6.457021e-06))
0.16          	((-2.121266e-02 -1.554434e-02 1.664558e+01) (-7.115462e-04 -9.004816e-05 2.255106e-02)) ((-2.064859e-03 -1.401193e-01 -3.139877e-04) (1.405788e-05 -2.004991e-04 -6.592530e-06))
0.17          	((-1.926757e-02 -1.555344e-02 1.624133e+01) (-7.523112e-04 -9.209364e-05 2.372717e-02)) ((-2.051748e-03 -1.356419e-01 -3.794385e-04) (1.543136e-05 -2.138013e-04 -6.701413e-06))
0.18          	((-1.689019e-02 -1.523464e-02 1.581079e+01) (-7.932112e-04 -9.419939e-05 2.485914e-02)) ((-2.047415e-03 -1.309134e-01 -4.770044e-04) (1.654724e-05 -2.270875e-04 -6.647293e-06))
0.19          	((-1.448416e-02 -1.513935e-02 1.535384e+01) (-8.339454e-04 -9.506248e-05 2.594291e-02)) ((-2.014093e-03 -1.260508e-01 -5.518719e-04) (1.784227e-05 -2.403173e-04 -6.447924e-06))
0.2           	((-1.145833e-02 -1.506794e-02 1.487114e+01) (-8.739195e-04 -9.504278e-05 2.697431e-02)) ((-1.995428e-03 -1.209488e-01 -5.689438e-04) (1.899203e-05 -2.537838e-04 -6.093633e-06))
0.21          	((-8.769979e-03 -1.540644e-02 1.436237e+01) (-9.129101e-04 -9.430506e-05 2.794739e-02)) ((-2.030975e-03 -1.156775e-01 -6.837013e-04) (2.025785e-05 -2.672427e-04 -5.740750e-06))
0.22          	((-6.469839e-03 -1.573637e-02 1.382721e+01) (-9.511272e-04 -9.176279e-05 2.885972e-02)) ((-2.057855e-03 -1.102985e-01 -7.246839e-04) (2.140929e-05 -2.805359e-04 -5.379964e-06))
0.23          	((-4.123925e-03 -1.578787e-02 1.326667e+01) (-9.883622e-04 -8.858527e-05 2.970784e-02)) ((-2.100817e-03 -1.047318e-01 -8.212876e-04) (2.233388e-05 -2.935773e-04 -4.865034e-06))
0.24          	((-1.534526e-03 -1.549631e-02 1.268074e+01) (-1.024065e-03 -8.418364e-05 3.048870e-02)) ((-2.061663e-03 -9.904045e-02 -8.868494e-04) (2.350116e-05 -3.064112e-04 -4.217921e-06))
0.25          	((6.775856e-04 -1.480773e-02 1.206900e+01) (-1.059183e-03 -7.892356e-05 3.119571e-02)) ((-2.146788e-03 -9.323572e-02 -9.416612e-04) (2.445099e-05 -3.190234e-04 -3.365372e-06))
0.26          	((3.111277e-03 -1.496383e-02 1.143287e+01) (-1.092378e-03 -7.301945e-05 3.182899e-02)) ((-2.175410e-03 -8.719402e-02 -1.108602e-03) (2.535285e-05 -3.310706e-04 -2.238197e-06))
0.27          	((5.798036e-03 -1.438409e-02 1.077278e+01) (-1.122869e-03 -6.703726e-05 3.238560e-02)) ((-2.177284e-03 -8.104001e-02 -1.172623e-03) (2.610941e-05 -3.425757e-04 -9.161588e-07))
0.28          	((8.089054e-03 -1.394184e-02 1.009045e+01) (-1.151129e-03 -6.064680e-05 3.286348e-02)) ((-2.224689e-03 -7.475802e-02 -1.304249e-03) (2.671234e-05 -3.533562e-04 4.105184e-07))
0.29          	((1.015103e-02 -1.339167e-02 9.386577e+00) (-1.176827e-03 -5.470991e-05 3.326050e-02)) ((-2.203174e-03 -6.827105e-02 -1.318029e-03) (2.710880e-05 -3.634697e-04 1.745056e-06))
