# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-2.334479e-02 -1.164867e-02 1.991640e+01) (-2.468453e-05 2.494479e-06 1.957020e-03)) ((3.191760e-03 -1.824965e-01 -5.092189e-04) (8.261598e-07 -2.260259e-05 -6.680942e-07))
0.02          	((-1.989621e-02 -1.166813e-02 1.936586e+01) (-4.918368e-05 4.528145e-06 3.983432e-03)) ((3.171818e-03 -1.778876e-01 -5.312485e-04) (1.711804e-06 -4.605528e-05 -1.436399e-06))
0.03          	((-2.064070e-02 -1.158141e-02 1.942474e+01) (-7.386988e-05 6.623480e-06 6.029880e-03)) ((3.245121e-03 -1.782915e-01 -5.602777e-04) (2.622919e-06 -6.994433e-05 -2.293186e-06))
0.04          	((-2.059547e-02 -1.150996e-02 1.931929e+01) (-9.889483e-05 8.571691e-06 8.066857e-03)) ((3.211577e-03 -1.772796e-01 -5.678809e-04) (3.542635e-06 -9.402317e-05 -3.230980e-06))
0.05          	((-2.026433e-02 -1.136059e-02 1.919148e+01) (-1.243263e-04 1.025086e-05 1.008358e-02)) ((3.176818e-03 -1.758713e-01 -5.642356e-04) (4.447738e-06 -1.181898e-04 -4.184420e-06))
0.06          	((-2.012878e-02 -1.123047e-02 1.904945e+01) (-1.501005e-04 1.170673e-05 1.207620e-02)) ((3.127340e-03 -1.742275e-01 -5.766193e-04) (5.339493e-06 -1.423716e-04 -5.124647e-06))
0.07          	((-1.998502e-02 -1.093365e-02 1.888661e+01) (-1.761384e-04 1.288051e-05 1.404218e-02)) ((3.063259e-03 -1.722998e-01 -5.709253e-04) (6.214151e-06 -1.664948e-04 -6.048250e-06))
0.08          	((-1.986843e-02 -1.074885e-02 1.869922e+01) (-2.023530e-04 1.376629e-05 1.597865e-02)) ((2.990339e-03 -1.700529e-01 -5.760179e-04) (7.042020e-06 -1.905126e-04 -6.919838e-06))
0.09          	((-1.967143e-02 -1.046226e-02 1.848703e+01) (-2.286496e-04 1.454443e-05 1.788186e-02)) ((2.895917e-03 -1.674902e-01 -5.865084e-04) (7.802564e-06 -2.144094e-04 -7.666103e-06))
0.1           	((-1.960822e-02 -1.034031e-02 1.825022e+01) (-2.547591e-04 1.540037e-05 1.974822e-02)) ((2.819443e-03 -1.646213e-01 -5.990114e-04) (8.489824e-06 -2.380899e-04 -8.267460e-06))
0.11          	((-1.954877e-02 -1.014728e-02 1.798897e+01) (-2.807218e-04 1.639902e-05 2.157318e-02)) ((2.731621e-03 -1.614436e-01 -6.174524e-04) (9.078498e-06 -2.615114e-04 -8.744229e-06))
0.12          	((-1.938350e-02 -9.853946e-03 1.770287e+01) (-3.067080e-04 1.777674e-05 2.335217e-02)) ((2.627729e-03 -1.579544e-01 -6.253933e-04) (9.591487e-06 -2.847352e-04 -9.020204e-06))
0.13          	((-1.904726e-02 -9.577971e-03 1.739163e+01) (-3.325379e-04 1.939411e-05 2.508067e-02)) ((2.504898e-03 -1.541905e-01 -6.331020e-04) (1.001479e-05 -3.076075e-04 -9.192031e-06))
0.14          	((-1.872509e-02 -9.270704e-03 1.705473e+01) (-3.580494e-04 2.090914e-05 2.675321e-02)) ((2.387064e-03 -1.501590e-01 -6.500673e-04) (1.040633e-05 -3.300594e-04 -9.235895e-06))
0.15          	((-1.822231e-02 -9.033038e-03 1.669187e+01) (-3.828909e-04 2.263248e-05 2.836475e-02)) ((2.313439e-03 -1.458813e-01 -6.676607e-04) (1.072516e-05 -3.521205e-04 -9.127623e-06))
