# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-4.668958e-02 -2.329733e-02 3.983279e+01) (-4.948820e-05 5.000808e-06 3.917675e-03)) ((6.383519e-03 -3.649931e-01 -1.018438e-03) (1.648960e-06 -4.529811e-05 -1.333906e-06))
0.02          	((-3.971243e-02 -2.331832e-02 3.871033e+01) (-9.901803e-05 9.001280e-06 7.983972e-03)) ((6.344714e-03 -3.556606e-01 -1.064599e-03) (3.410735e-06 -9.251760e-05 -2.885170e-06))
0.03          	((-4.114779e-02 -2.306741e-02 3.883993e+01) (-1.496937e-04 1.301451e-05 1.210240e-02)) ((6.488875e-03 -3.562657e-01 -1.132745e-03) (5.199278e-06 -1.408830e-04 -4.654363e-06))
0.04          	((-4.108035e-02 -2.281120e-02 3.867164e+01) (-2.021023e-04 1.642217e-05 1.622195e-02)) ((6.392180e-03 -3.541094e-01 -1.155638e-03) (6.991335e-06 -1.899824e-04 -6.578933e-06))
0.05          	((-4.020948e-02 -2.241645e-02 3.848172e+01) (-2.563338e-04 1.914825e-05 2.032904e-02)) ((6.266713e-03 -3.511864e-01 -1.163169e-03) (8.766633e-06 -2.396517e-04 -8.481336e-06))
0.06          	((-4.021823e-02 -2.200294e-02 3.828706e+01) (-3.121092e-04 2.095452e-05 2.442128e-02)) ((6.103175e-03 -3.478396e-01 -1.168887e-03) (1.046764e-05 -2.897402e-04 -1.030526e-05))
0.07          	((-4.010332e-02 -2.144909e-02 3.807367e+01) (-3.690854e-04 2.251617e-05 2.849493e-02)) ((5.898424e-03 -3.438765e-01 -1.198164e-03) (1.205568e-05 -3.401740e-04 -1.185115e-05))
0.08          	((-4.059065e-02 -2.132076e-02 3.782984e+01) (-4.266322e-04 2.460430e-05 3.254366e-02)) ((5.727064e-03 -3.393220e-01 -1.262764e-03) (1.344755e-05 -3.907801e-04 -1.297078e-05))
0.09          	((-4.050805e-02 -2.096068e-02 3.755112e+01) (-4.851253e-04 2.800184e-05 3.655564e-02)) ((5.538454e-03 -3.340539e-01 -1.295637e-03) (1.447562e-05 -4.415745e-04 -1.356945e-05))
0.1           	((-4.008228e-02 -2.049188e-02 3.723313e+01) (-5.439507e-04 3.159449e-05 4.051605e-02)) ((5.275639e-03 -3.281809e-01 -1.335931e-03) (1.528594e-05 -4.921443e-04 -1.388253e-05))
0.11          	((-3.906785e-02 -1.993740e-02 3.687229e+01) (-6.031294e-04 3.523141e-05 4.441156e-02)) ((5.073760e-03 -3.217873e-01 -1.385894e-03) (1.570648e-05 -5.429428e-04 -1.394379e-05))
0.12          	((-3.839682e-02 -1.929162e-02 3.646641e+01) (-6.630849e-04 4.022271e-05 4.822806e-02)) ((4.856770e-03 -3.149938e-01 -1.458923e-03) (1.626068e-05 -5.940161e-04 -1.368242e-05))
0.13          	((-3.725732e-02 -1.865320e-02 3.601035e+01) (-7.237398e-04 4.626585e-05 5.195211e-02)) ((4.682327e-03 -3.077367e-01 -1.506730e-03) (1.652190e-05 -6.448287e-04 -1.291415e-05))
0.14          	((-3.630668e-02 -1.782557e-02 3.550140e+01) (-7.826417e-04 5.499951e-05 5.556891e-02)) ((4.533570e-03 -3.000942e-01 -1.717906e-03) (1.648889e-05 -6.951845e-04 -1.148018e-05))
