# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00666667    	((-1.032512e-01 -3.562158e-02 5.921092e+01) (-4.056188e-05 4.708292e-06 3.444582e-03)) ((1.141143e-02 -5.237472e-01 -4.462614e-03) (-1.141134e-06 -3.710624e-05 2.343163e-06))
0.0133333     	((-1.059172e-01 -3.236619e-02 5.838815e+01) (-7.954123e-05 7.012757e-06 6.862965e-03)) ((1.091231e-02 -5.169272e-01 -4.092294e-03) (-2.183578e-06 -7.427077e-05 4.499757e-06))
0.02          	((-1.083991e-01 -3.384223e-02 5.872101e+01) (-1.179509e-04 8.820252e-06 1.028165e-02)) ((1.099413e-02 -5.193433e-01 -3.973085e-03) (-3.130873e-06 -1.115432e-04 6.505200e-06))
0.0266667     	((-1.057385e-01 -3.385848e-02 5.838115e+01) (-1.560623e-04 1.061498e-05 1.368412e-02)) ((1.090336e-02 -5.161865e-01 -3.791402e-03) (-4.135296e-06 -1.488133e-04 8.268221e-06))
0.0333333     	((-1.041248e-01 -3.399391e-02 5.800632e+01) (-1.938454e-04 1.206654e-05 1.706990e-02)) ((1.080197e-02 -5.121014e-01 -3.588775e-03) (-5.155968e-06 -1.860244e-04 9.664009e-06))
0.04          	((-1.030904e-01 -3.415387e-02 5.761533e+01) (-2.316311e-04 1.350298e-05 2.044508e-02)) ((1.069175e-02 -5.075693e-01 -3.434923e-03) (-6.173217e-06 -2.231823e-04 1.065937e-05))
0.0466667     	((-1.020406e-01 -3.416762e-02 5.718307e+01) (-2.690420e-04 1.539810e-05 2.381537e-02)) ((1.056036e-02 -5.024166e-01 -3.275210e-03) (-7.184758e-06 -2.603296e-04 1.122708e-05))
0.0533333     	((-1.012352e-01 -3.430291e-02 5.668685e+01) (-3.063379e-04 1.692243e-05 2.718363e-02)) ((1.037213e-02 -4.964326e-01 -3.193644e-03) (-8.232635e-06 -2.974626e-04 1.141218e-05))
0.06          	((-9.929100e-02 -3.422653e-02 5.612328e+01) (-3.438225e-04 1.814925e-05 3.055179e-02)) ((1.017626e-02 -4.895487e-01 -3.081915e-03) (-9.486349e-06 -3.346571e-04 1.120253e-05))
0.0666667     	((-9.746816e-02 -3.422735e-02 5.549334e+01) (-3.806678e-04 1.894835e-05 3.391983e-02)) ((9.980756e-03 -4.818295e-01 -2.948583e-03) (-1.094221e-05 -3.720197e-04 1.060572e-05))
0.0733333     	((-9.555907e-02 -3.403633e-02 5.479835e+01) (-4.172271e-04 1.976729e-05 3.728087e-02)) ((9.791584e-03 -4.732287e-01 -2.789796e-03) (-1.249347e-05 -4.094782e-04 9.754752e-06))
0.08          	((-9.360662e-02 -3.331799e-02 5.403759e+01) (-4.542202e-04 2.056395e-05 4.062584e-02)) ((9.559896e-03 -4.638139e-01 -2.662784e-03) (-1.419767e-05 -4.472207e-04 8.829188e-06))
0.0866667     	((-9.122432e-02 -3.311801e-02 5.320788e+01) (-4.914811e-04 2.133492e-05 4.394507e-02)) ((9.272206e-03 -4.535294e-01 -2.501006e-03) (-1.579372e-05 -4.853737e-04 7.618009e-06))
0.0933333     	((-8.837049e-02 -3.334132e-02 5.230625e+01) (-5.297409e-04 2.280803e-05 4.723051e-02)) ((8.924446e-03 -4.424383e-01 -2.571108e-03) (-1.745464e-05 -5.243242e-04 6.222840e-06))
0.1           	((-8.546759e-02 -3.352699e-02 5.133080e+01) (-5.687478e-04 2.622632e-05 5.046975e-02)) ((8.609040e-03 -4.305786e-01 -2.477140e-03) (-1.900415e-05 -5.632152e-04 4.725185e-06))
0.106667      	((-8.242642e-02 -3.301415e-02 5.027820e+01) (-6.098148e-04 3.007119e-05 5.364636e-02)) ((8.335856e-03 -4.181215e-01 -2.406669e-03) (-2.104075e-05 -6.025578e-04 3.033563e-06))
0.113333      	((-7.936704e-02 -3.218765e-02 4.914335e+01) (-6.508904e-04 3.422525e-05 5.675262e-02)) ((7.969047e-03 -4.050591e-01 -2.586256e-03) (-2.256947e-05 -6.422833e-04 9.213405e-07))
0.12          	((-7.551049e-02 -3.168162e-02 4.792509e+01) (-6.943700e-04 3.735008e-05 5.976473e-02)) ((7.569872e-03 -3.914268e-01 -2.798170e-03) (-2.469198e-05 -6.823270e-04 -1.360465e-06))
0.126667      	((-7.244669e-02 -3.195491e-02 4.662681e+01) (-7.403632e-04 4.041733e-05 6.266921e-02)) ((7.114352e-03 -3.773687e-01 -2.913936e-03) (-2.571108e-05 -7.234872e-04 -3.599684e-06))
0.133333      	((-6.861905e-02 -3.181890e-02 4.524359e+01) (-7.896248e-04 4.523013e-05 6.546199e-02)) ((6.633604e-03 -3.625740e-01 -3.163387e-03) (-2.570875e-05 -7.651774e-04 -5.098834e-06))
0.14          	((-6.453276e-02 -3.148977e-02 4.377839e+01) (-8.406985e-04 4.995551e-05 6.812372e-02)) ((6.352140e-03 -3.471319e-01 -3.396913e-03) (-2.518228e-05 -8.073025e-04 -5.996483e-06))
0.146667      	((-6.215056e-02 -3.123092e-02 4.223624e+01) (-8.900183e-04 5.434439e-05 7.063283e-02)) ((5.878373e-03 -3.313215e-01 -3.664059e-03) (-2.579974e-05 -8.485986e-04 -6.717780e-06))
0.153333      	((-6.020116e-02 -3.130500e-02 4.061826e+01) (-9.405638e-04 6.040807e-05 7.298711e-02)) ((5.344889e-03 -3.150753e-01 -3.957566e-03) (-2.637215e-05 -8.897805e-04 -6.943611e-06))
0.16          	((-5.692515e-02 -3.079154e-02 3.891760e+01) (-9.899619e-04 6.718701e-05 7.515488e-02)) ((4.859212e-03 -2.980519e-01 -4.393271e-03) (-2.690058e-05 -9.296642e-04 -7.120137e-06))
0.166667      	((-5.390691e-02 -3.058587e-02 3.713008e+01) (-1.037774e-03 7.365269e-05 7.712101e-02)) ((4.639219e-03 -2.806084e-01 -4.972831e-03) (-2.696108e-05 -9.678284e-04 -7.151628e-06))
0.173333      	((-5.043182e-02 -2.915742e-02 3.526787e+01) (-1.081968e-03 8.073652e-05 7.887764e-02)) ((3.883806e-03 -2.624904e-01 -5.532482e-03) (-2.732333e-05 -1.003947e-03 -7.026379e-06))
0.18          	((-4.788415e-02 -2.795009e-02 3.334565e+01) (-1.122954e-03 8.810676e-05 8.041817e-02)) ((3.416364e-03 -2.437850e-01 -6.009411e-03) (-2.796643e-05 -1.037566e-03 -6.838771e-06))
0.186667      	((-4.520914e-02 -2.505753e-02 3.135404e+01) (-1.160145e-03 9.640938e-05 8.173731e-02)) ((2.848755e-03 -2.249950e-01 -6.381262e-03) (-2.853727e-05 -1.069008e-03 -6.566185e-06))
0.193333      	((-4.236895e-02 -2.413694e-02 2.929877e+01) (-1.194065e-03 1.042426e-04 8.282813e-02)) ((2.145805e-03 -2.052589e-01 -6.646771e-03) (-2.895328e-05 -1.098454e-03 -6.375848e-06))
0.2           	((-3.906875e-02 -2.231928e-02 2.718856e+01) (-1.226505e-03 1.130009e-04 8.367926e-02)) ((1.096672e-03 -1.852527e-01 -7.344526e-03) (-2.815244e-05 -1.125997e-03 -6.265649e-06))
0.206667      	((-3.744354e-02 -2.165608e-02 2.501404e+01) (-1.258827e-03 1.220472e-04 8.430594e-02)) ((6.018497e-04 -1.649096e-01 -7.679131e-03) (-2.740525e-05 -1.154103e-03 -6.280734e-06))
0.213333      	((-3.256258e-02 -1.932616e-02 2.278417e+01) (-1.290555e-03 1.295941e-04 8.469665e-02)) ((-2.367765e-04 -1.441851e-01 -7.869457e-03) (-2.624155e-05 -1.180875e-03 -6.060412e-06))
0.22          	((-2.796518e-02 -1.723315e-02 2.049633e+01) (-1.317004e-03 1.370365e-04 8.484326e-02)) ((-1.133370e-03 -1.228562e-01 -7.812995e-03) (-2.478360e-05 -1.203871e-03 -6.154320e-06))
0.226667      	((-2.348882e-02 -1.661207e-02 1.815430e+01) (-1.340559e-03 1.440011e-04 8.474748e-02)) ((-2.103753e-03 -1.013636e-01 -7.680938e-03) (-2.364098e-05 -1.222875e-03 -6.196218e-06))
0.233333      	((-1.893053e-02 -1.290488e-02 1.577984e+01) (-1.360897e-03 1.511169e-04 8.441333e-02)) ((-2.764071e-03 -7.987710e-02 -7.663910e-03) (-2.197102e-05 -1.239016e-03 -6.326903e-06))
0.24          	((-1.361331e-02 -1.171601e-02 1.334953e+01) (-1.377034e-03 1.566300e-04 8.384005e-02)) ((-3.795155e-03 -5.784153e-02 -7.552186e-03) (-2.035163e-05 -1.251318e-03 -7.103126e-06))
0.246667      	((-1.022528e-02 -8.549587e-03 1.087584e+01) (-1.392255e-03 1.590744e-04 8.303358e-02)) ((-4.825037e-03 -3.642159e-02 -7.710816e-03) (-1.859606e-05 -1.260491e-03 -7.451241e-06))
0.253333      	((-4.506879e-03 -5.673479e-03 8.374710e+00) (-1.402480e-03 1.623557e-04 8.200911e-02)) ((-5.354050e-03 -1.486104e-02 -7.776201e-03) (-1.629648e-05 -1.266794e-03 -7.860450e-06))
0.26          	((-2.680969e-04 -2.076704e-03 5.844799e+00) (-1.407594e-03 1.626397e-04 8.076422e-02)) ((-6.449561e-03 5.987031e-03 -7.736961e-03) (-1.441516e-05 -1.268681e-03 -8.611849e-06))
0.266667      	((4.613406e-03 1.231372e-03 3.284742e+00) (-1.407189e-03 1.625616e-04 7.930693e-02)) ((-6.934419e-03 2.772890e-02 -7.957123e-03) (-1.279092e-05 -1.266343e-03 -9.068730e-06))
0.273333      	((1.233905e-02 4.965414e-03 6.996220e-01) (-1.403420e-03 1.621900e-04 7.765029e-02)) ((-7.864555e-03 4.951255e-02 -7.603747e-03) (-1.038078e-05 -1.260627e-03 -9.189584e-06))
0.28          	((1.845612e-02 7.269946e-03 -1.889430e+00) (-1.393858e-03 1.603895e-04 7.579640e-02)) ((-8.581625e-03 7.110238e-02 -7.483459e-03) (-7.986763e-06 -1.250291e-03 -9.241633e-06))
0.286667      	((2.296176e-02 9.659674e-03 -4.489453e+00) (-1.379322e-03 1.557981e-04 7.374914e-02)) ((-9.108398e-03 9.272398e-02 -7.498660e-03) (-5.453019e-06 -1.235960e-03 -9.064980e-06))
