# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-3.537955e-02 -1.192070e-02 1.985070e+01) (-1.996611e-05 2.211593e-06 1.692962e-03)) ((3.807126e-03 -1.755073e-01 -1.509723e-03) (-5.375939e-07 -1.827276e-05 1.145271e-06))
0.02          	((-3.532543e-02 -1.095123e-02 1.950350e+01) (-3.934893e-05 3.488571e-06 3.382154e-03)) ((3.662121e-03 -1.725652e-01 -1.391410e-03) (-1.047284e-06 -3.666401e-05 2.225819e-06))
0.03          	((-3.625329e-02 -1.130602e-02 1.961055e+01) (-5.831422e-05 4.416999e-06 5.069108e-03)) ((3.668670e-03 -1.733881e-01 -1.354408e-03) (-1.516271e-06 -5.510826e-05 3.243890e-06))
0.04          	((-3.564565e-02 -1.132678e-02 1.949517e+01) (-7.694456e-05 5.314660e-06 6.740275e-03)) ((3.635394e-03 -1.724241e-01 -1.301703e-03) (-2.007693e-06 -7.348041e-05 4.155826e-06))
0.05          	((-3.516343e-02 -1.132139e-02 1.936251e+01) (-9.519042e-05 6.076378e-06 8.391553e-03)) ((3.603668e-03 -1.711068e-01 -1.244371e-03) (-2.525723e-06 -9.171805e-05 4.925994e-06))
0.06          	((-3.492469e-02 -1.134112e-02 1.921959e+01) (-1.131756e-04 6.799151e-06 1.002252e-02)) ((3.566733e-03 -1.696074e-01 -1.198087e-03) (-3.010111e-06 -1.097752e-04 5.525420e-06))
0.07          	((-3.446558e-02 -1.133699e-02 1.905812e+01) (-1.309094e-04 7.576877e-06 1.163308e-02)) ((3.528330e-03 -1.678859e-01 -1.156450e-03) (-3.505809e-06 -1.276378e-04 5.957829e-06))
0.08          	((-3.416670e-02 -1.136020e-02 1.887131e+01) (-1.483520e-04 8.431497e-06 1.322301e-02)) ((3.474709e-03 -1.658746e-01 -1.108220e-03) (-3.981772e-06 -1.453504e-04 6.209884e-06))
0.09          	((-3.380124e-02 -1.129187e-02 1.865856e+01) (-1.656985e-04 9.245080e-06 1.479091e-02)) ((3.407606e-03 -1.635757e-01 -1.080943e-03) (-4.435414e-06 -1.629393e-04 6.274436e-06))
0.1           	((-3.316906e-02 -1.127524e-02 1.842035e+01) (-1.828883e-04 9.943196e-06 1.633538e-02)) ((3.336117e-03 -1.609630e-01 -1.042293e-03) (-4.912840e-06 -1.803802e-04 6.174973e-06))
0.11          	((-3.248999e-02 -1.116727e-02 1.815761e+01) (-1.999903e-04 1.074791e-05 1.785533e-02)) ((3.263952e-03 -1.580792e-01 -1.003247e-03) (-5.435564e-06 -1.976213e-04 5.881496e-06))
0.12          	((-3.183681e-02 -1.104652e-02 1.787050e+01) (-2.167289e-04 1.142768e-05 1.934701e-02)) ((3.184937e-03 -1.549136e-01 -9.471864e-04) (-5.917049e-06 -2.147453e-04 5.464861e-06))
0.13          	((-3.118822e-02 -1.088741e-02 1.755943e+01) (-2.332146e-04 1.201517e-05 2.080776e-02)) ((3.103549e-03 -1.514660e-01 -9.040785e-04) (-6.552303e-06 -2.316640e-04 4.952099e-06))
0.14          	((-3.034522e-02 -1.060609e-02 1.722388e+01) (-2.495473e-04 1.231796e-05 2.223374e-02)) ((3.032573e-03 -1.477610e-01 -8.402865e-04) (-7.194524e-06 -2.483962e-04 4.415102e-06))
0.15          	((-2.961328e-02 -1.059950e-02 1.686358e+01) (-2.655664e-04 1.304798e-05 2.362013e-02)) ((2.916196e-03 -1.437858e-01 -8.199241e-04) (-7.974960e-06 -2.649648e-04 3.820632e-06))
0.16          	((-2.848125e-02 -1.060059e-02 1.647808e+01) (-2.815232e-04 1.386096e-05 2.496256e-02)) ((2.783094e-03 -1.395267e-01 -8.227901e-04) (-8.730371e-06 -2.812518e-04 3.238738e-06))
0.17          	((-2.746411e-02 -1.043614e-02 1.606721e+01) (-2.975097e-04 1.520774e-05 2.625838e-02)) ((2.666623e-03 -1.350394e-01 -7.981871e-04) (-9.485887e-06 -2.974045e-04 2.568453e-06))
0.18          	((-2.628923e-02 -1.019258e-02 1.563078e+01) (-3.136528e-04 1.698573e-05 2.750126e-02)) ((2.572039e-03 -1.303757e-01 -7.471878e-04) (-1.026231e-05 -3.131707e-04 1.877897e-06))
0.19          	((-2.518743e-02 -9.857365e-03 1.516741e+01) (-3.294022e-04 1.885180e-05 2.868931e-02)) ((2.455201e-03 -1.254762e-01 -7.654056e-04) (-1.104059e-05 -3.286331e-04 1.072091e-06))
0.2           	((-2.411078e-02 -9.579499e-03 1.467761e+01) (-3.450857e-04 2.099421e-05 2.981691e-02)) ((2.310999e-03 -1.203982e-01 -8.198060e-04) (-1.161305e-05 -3.437119e-04 2.269936e-07))
0.21          	((-2.290678e-02 -9.507996e-03 1.416207e+01) (-3.604820e-04 2.320268e-05 3.087886e-02)) ((2.193831e-03 -1.151582e-01 -8.307184e-04) (-1.221507e-05 -3.583487e-04 -5.622347e-07))
0.22          	((-2.143881e-02 -9.487014e-03 1.362078e+01) (-3.761570e-04 2.564038e-05 3.187338e-02)) ((2.017290e-03 -1.097374e-01 -8.729288e-04) (-1.261406e-05 -3.727198e-04 -1.302576e-06))
0.23          	((-2.000728e-02 -9.289486e-03 1.305357e+01) (-3.921590e-04 2.872277e-05 3.279615e-02)) ((1.867402e-03 -1.040909e-01 -9.286067e-04) (-1.294318e-05 -3.865641e-04 -1.817217e-06))
0.24          	((-1.895795e-02 -9.019179e-03 1.246186e+01) (-4.083894e-04 3.174956e-05 3.364552e-02)) ((1.765079e-03 -9.832792e-02 -9.529157e-04) (-1.327072e-05 -3.999843e-04 -2.239132e-06))
0.25          	((-1.808334e-02 -8.750248e-03 1.184715e+01) (-4.238460e-04 3.473868e-05 3.441920e-02)) ((1.590172e-03 -9.242243e-02 -1.030928e-03) (-1.384129e-05 -4.126555e-04 -2.555532e-06))
0.26          	((-1.707001e-02 -8.741321e-03 1.120945e+01) (-4.385050e-04 3.787584e-05 3.511117e-02)) ((1.444106e-03 -8.634050e-02 -1.049651e-03) (-1.441749e-05 -4.247499e-04 -2.747429e-06))
0.27          	((-1.597965e-02 -8.480720e-03 1.054928e+01) (-4.516858e-04 4.101536e-05 3.571914e-02)) ((1.264665e-03 -8.008216e-02 -1.165462e-03) (-1.457922e-05 -4.359578e-04 -2.913839e-06))
0.28          	((-1.453560e-02 -8.308492e-03 9.865327e+00) (-4.640747e-04 4.410880e-05 3.624107e-02)) ((1.150154e-03 -7.365040e-02 -1.248431e-03) (-1.481658e-05 -4.463630e-04 -3.161521e-06))
0.29          	((-1.330771e-02 -7.882501e-03 9.159773e+00) (-4.749634e-04 4.694988e-05 3.667323e-02)) ((1.048664e-03 -6.713225e-02 -1.401288e-03) (-1.493487e-05 -4.559151e-04 -3.322914e-06))
