# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.005         	((-3.397805e-02 -1.185666e-02 1.969178e+01) (-1.021521e-05 1.200887e-06 8.662200e-04)) ((3.803905e-03 -1.742247e-01 -1.479564e-03) (-2.908317e-07 -9.313999e-06 5.919400e-07))
0.01          	((-3.551712e-02 -1.070394e-02 1.950497e+01) (-1.997527e-05 1.714937e-06 1.724017e-03)) ((3.642207e-03 -1.726138e-01 -1.373622e-03) (-5.445192e-07 -1.860748e-05 1.143442e-06))
0.015         	((-3.661121e-02 -1.134154e-02 1.967391e+01) (-2.955794e-05 2.131083e-06 2.582410e-03)) ((3.672045e-03 -1.740422e-01 -1.372736e-03) (-7.734060e-07 -2.792499e-05 1.687867e-06))
0.02          	((-3.591687e-02 -1.125803e-02 1.962706e+01) (-3.899573e-05 2.529808e-06 3.436985e-03)) ((3.637587e-03 -1.737503e-01 -1.346068e-03) (-1.002245e-06 -3.723300e-05 2.213189e-06))
0.025         	((-3.589585e-02 -1.125631e-02 1.958385e+01) (-4.823901e-05 2.850591e-06 4.286436e-03)) ((3.615688e-03 -1.733618e-01 -1.317844e-03) (-1.228111e-06 -4.650980e-05 2.708531e-06))
0.03          	((-3.582120e-02 -1.126577e-02 1.954863e+01) (-5.738838e-05 3.151354e-06 5.130619e-03)) ((3.601180e-03 -1.730362e-01 -1.294624e-03) (-1.450980e-06 -5.575505e-05 3.174633e-06))
0.035         	((-3.582106e-02 -1.128960e-02 1.951366e+01) (-6.642685e-05 3.444211e-06 5.969639e-03)) ((3.590797e-03 -1.726894e-01 -1.273830e-03) (-1.675211e-06 -6.496431e-05 3.612991e-06))
0.04          	((-3.587423e-02 -1.128328e-02 1.947217e+01) (-7.539523e-05 3.736883e-06 6.803388e-03)) ((3.580012e-03 -1.722744e-01 -1.252950e-03) (-1.899848e-06 -7.413808e-05 4.010680e-06))
0.045         	((-3.578211e-02 -1.128461e-02 1.942251e+01) (-8.427522e-05 4.013159e-06 7.631766e-03)) ((3.566009e-03 -1.717621e-01 -1.234229e-03) (-2.125140e-06 -8.326549e-05 4.367379e-06))
0.05          	((-3.567968e-02 -1.125446e-02 1.936536e+01) (-9.311602e-05 4.275958e-06 8.454694e-03)) ((3.553897e-03 -1.711641e-01 -1.218491e-03) (-2.346543e-06 -9.233754e-05 4.681606e-06))
0.055         	((-3.554485e-02 -1.129698e-02 1.930141e+01) (-1.019188e-04 4.539354e-06 9.272126e-03)) ((3.543168e-03 -1.704932e-01 -1.205063e-03) (-2.565930e-06 -1.013578e-04 4.960635e-06))
0.06          	((-3.537256e-02 -1.130089e-02 1.923071e+01) (-1.106592e-04 4.829318e-06 1.008395e-02)) ((3.528695e-03 -1.697469e-01 -1.189606e-03) (-2.786717e-06 -1.103220e-04 5.206377e-06))
0.065         	((-3.522987e-02 -1.132144e-02 1.915341e+01) (-1.193070e-04 5.142367e-06 1.089013e-02)) ((3.505399e-03 -1.689229e-01 -1.171476e-03) (-2.999828e-06 -1.192268e-04 5.412609e-06))
0.07          	((-3.516846e-02 -1.129287e-02 1.906956e+01) (-1.278824e-04 5.503430e-06 1.169058e-02)) ((3.480570e-03 -1.680298e-01 -1.151210e-03) (-3.209072e-06 -1.280802e-04 5.574582e-06))
0.075         	((-3.503787e-02 -1.130166e-02 1.897931e+01) (-1.363575e-04 5.864526e-06 1.248515e-02)) ((3.461596e-03 -1.670628e-01 -1.138614e-03) (-3.419244e-06 -1.368924e-04 5.693050e-06))
0.08          	((-3.483663e-02 -1.130899e-02 1.888265e+01) (-1.447416e-04 6.220577e-06 1.327365e-02)) ((3.432731e-03 -1.660243e-01 -1.120829e-03) (-3.628363e-06 -1.456599e-04 5.753462e-06))
0.085         	((-3.463309e-02 -1.130518e-02 1.877957e+01) (-1.530340e-04 6.526099e-06 1.405595e-02)) ((3.396253e-03 -1.649071e-01 -1.099580e-03) (-3.837788e-06 -1.543794e-04 5.762736e-06))
