# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00666667    	((2.703641e+01 1.031573e-03 -1.018521e-01) (5.179697e-03 9.612718e-06 -2.864336e-05)) ((4.775483e-03 8.900422e-01 -1.095150e-02) (-1.540451e-06 1.167400e-04 3.289156e-06))
0.0133333     	((2.670551e+01 1.741032e-03 -1.057462e-01) (1.034415e-02 2.082091e-05 -5.356189e-05)) ((4.585703e-03 8.762323e-01 -1.116740e-02) (-3.106676e-06 2.341384e-04 7.421453e-06))
0.02          	((2.687617e+01 1.287902e-03 -1.043402e-01) (1.550160e-02 3.329850e-05 -7.764669e-05)) ((4.704318e-03 8.737925e-01 -1.132387e-02) (-4.641939e-06 3.516959e-04 1.181809e-05))
0.0266667     	((2.669106e+01 6.230578e-04 -1.096088e-01) (2.061274e-02 4.575342e-05 -1.018639e-04)) ((4.428139e-03 8.708315e-01 -1.122843e-02) (-6.077909e-06 4.686218e-04 1.616351e-05))
0.0333333     	((2.650368e+01 4.314632e-04 -1.134461e-01) (2.566880e-02 5.856950e-05 -1.255477e-04)) ((4.335003e-03 8.661838e-01 -1.114691e-02) (-7.464025e-06 5.846109e-04 2.045816e-05))
0.04          	((2.630606e+01 4.716614e-05 -1.165977e-01) (3.067039e-02 7.167459e-05 -1.487033e-04)) ((4.160556e-03 8.597998e-01 -1.103589e-02) (-8.806913e-06 6.995563e-04 2.474104e-05))
0.0466667     	((2.608668e+01 -3.639526e-04 -1.227320e-01) (3.562042e-02 8.527453e-05 -1.716988e-04)) ((4.065528e-03 8.514819e-01 -1.088985e-02) (-1.008175e-05 8.134238e-04 2.898043e-05))
0.0533333     	((2.583477e+01 -1.243951e-03 -1.258193e-01) (4.052045e-02 9.939865e-05 -1.942462e-04)) ((3.979337e-03 8.417750e-01 -1.074266e-02) (-1.125186e-05 9.260876e-04 3.312936e-05))
0.06          	((2.554838e+01 -1.951334e-03 -1.307736e-01) (4.537187e-02 1.134258e-04 -2.161821e-04)) ((3.840895e-03 8.307974e-01 -1.059120e-02) (-1.231946e-05 1.037497e-03 3.734017e-05))
0.0666667     	((2.522885e+01 -2.764212e-03 -1.367754e-01) (5.017423e-02 1.277548e-04 -2.375044e-04)) ((3.756523e-03 8.184458e-01 -1.040770e-02) (-1.328227e-05 1.147524e-03 4.149434e-05))
0.0733333     	((2.487732e+01 -2.988862e-03 -1.442473e-01) (5.492693e-02 1.417856e-04 -2.581431e-04)) ((3.595575e-03 8.047939e-01 -1.022553e-02) (-1.414540e-05 1.256025e-03 4.560142e-05))
0.08          	((2.449397e+01 -3.968721e-03 -1.516017e-01) (5.962713e-02 1.557183e-04 -2.772399e-04)) ((3.389310e-03 7.897131e-01 -9.996967e-03) (-1.492908e-05 1.363024e-03 4.967722e-05))
0.0866667     	((2.407781e+01 -5.035537e-03 -1.587214e-01) (6.427291e-02 1.695433e-04 -2.948930e-04)) ((3.172191e-03 7.734009e-01 -9.810028e-03) (-1.559340e-05 1.468320e-03 5.368548e-05))
0.0933333     	((2.362889e+01 -5.969677e-03 -1.668383e-01) (6.885740e-02 1.837770e-04 -3.108700e-04)) ((3.053351e-03 7.557055e-01 -9.528281e-03) (-1.610942e-05 1.571679e-03 5.767301e-05))
0.1           	((2.314724e+01 -6.452053e-03 -1.754114e-01) (7.337414e-02 1.984539e-04 -3.255641e-04)) ((2.895860e-03 7.367011e-01 -9.249887e-03) (-1.644810e-05 1.673034e-03 6.169703e-05))
0.106667      	((2.263148e+01 -7.179257e-03 -1.844655e-01) (7.781767e-02 2.137478e-04 -3.391757e-04)) ((2.668145e-03 7.163451e-01 -8.838459e-03) (-1.667175e-05 1.772344e-03 6.570742e-05))
0.113333      	((2.208133e+01 -7.748919e-03 -1.939801e-01) (8.217451e-02 2.293124e-04 -3.516760e-04)) ((2.520739e-03 6.945378e-01 -8.485446e-03) (-1.671663e-05 1.869168e-03 6.981629e-05))
