# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((1.811701e+01 5.778764e-04 -7.055008e-02) (5.068680e-03 9.610134e-06 -2.857753e-05)) ((3.221346e-03 5.959319e-01 -7.351513e-03) (-1.493320e-06 1.138626e-04 2.906793e-06))
0.02          	((1.782825e+01 1.176220e-03 -7.034802e-02) (1.017498e-02 2.060053e-05 -5.368753e-05)) ((3.070731e-03 5.846932e-01 -7.417198e-03) (-3.026557e-06 2.299058e-04 6.842429e-06))
0.03          	((1.794618e+01 7.509069e-04 -7.017700e-02) (1.528182e-02 3.294037e-05 -7.763014e-05)) ((3.134668e-03 5.833109e-01 -7.549077e-03) (-4.539028e-06 3.464477e-04 1.110258e-05))
0.04          	((1.783741e+01 2.980089e-04 -7.501558e-02) (2.033989e-02 4.536531e-05 -1.015405e-04)) ((2.956884e-03 5.815819e-01 -7.486566e-03) (-5.956241e-06 4.624148e-04 1.533003e-05))
0.05          	((1.773172e+01 -1.176747e-04 -7.790207e-02) (2.534010e-02 5.823023e-05 -1.248681e-04)) ((2.889332e-03 5.788056e-01 -7.417910e-03) (-7.314437e-06 5.774174e-04 1.951137e-05))
0.06          	((1.762297e+01 -2.942702e-04 -8.202976e-02) (3.028639e-02 7.164390e-05 -1.478792e-04)) ((2.762290e-03 5.748717e-01 -7.352902e-03) (-8.594466e-06 6.914048e-04 2.368271e-05))
0.07          	((1.750368e+01 -1.023099e-03 -8.597242e-02) (3.518335e-02 8.538015e-05 -1.703843e-04)) ((2.714547e-03 5.696763e-01 -7.251761e-03) (-9.773402e-06 8.042382e-04 2.777336e-05))
0.08          	((1.736706e+01 -1.623931e-03 -9.133889e-02) (4.003531e-02 9.943353e-05 -1.923216e-04)) ((2.612032e-03 5.636594e-01 -7.169024e-03) (-1.081954e-05 9.158319e-04 3.186727e-05))
0.09          	((1.721184e+01 -2.038460e-03 -9.734732e-02) (4.484537e-02 1.135284e-04 -2.136179e-04)) ((2.538383e-03 5.567284e-01 -7.075255e-03) (-1.176759e-05 1.026143e-03 3.584735e-05))
0.1           	((1.703844e+01 -2.732028e-03 -1.034947e-01) (4.961236e-02 1.275089e-04 -2.330401e-04)) ((2.404254e-03 5.489061e-01 -6.959257e-03) (-1.261124e-05 1.135052e-03 3.980929e-05))
0.11          	((1.684675e+01 -3.588729e-03 -1.099336e-01) (5.433789e-02 1.417003e-04 -2.512739e-04)) ((2.270463e-03 5.402618e-01 -6.837313e-03) (-1.331982e-05 1.242454e-03 4.384366e-05))
0.12          	((1.663669e+01 -4.306698e-03 -1.179477e-01) (5.901742e-02 1.566322e-04 -2.672948e-04)) ((2.181793e-03 5.306783e-01 -6.696263e-03) (-1.387526e-05 1.348099e-03 4.776324e-05))
0.13          	((1.640686e+01 -4.828538e-03 -1.265855e-01) (6.364464e-02 1.721882e-04 -2.819784e-04)) ((2.021050e-03 5.201864e-01 -6.481217e-03) (-1.421350e-05 1.451946e-03 5.166799e-05))
0.14          	((1.615622e+01 -5.487219e-03 -1.356114e-01) (6.821289e-02 1.877874e-04 -2.950242e-04)) ((1.928025e-03 5.086757e-01 -6.244271e-03) (-1.435501e-05 1.553784e-03 5.548179e-05))
0.15          	((1.588380e+01 -5.506640e-03 -1.443415e-01) (7.271193e-02 2.034728e-04 -3.079790e-04)) ((1.826123e-03 4.961710e-01 -6.060701e-03) (-1.451487e-05 1.653563e-03 5.969956e-05))
0.16          	((1.558813e+01 -5.909322e-03 -1.550055e-01) (7.713761e-02 2.206155e-04 -3.194709e-04)) ((1.772255e-03 4.827157e-01 -5.915727e-03) (-1.438047e-05 1.750994e-03 6.373049e-05))
0.17          	((1.526883e+01 -6.474881e-03 -1.652445e-01) (8.147551e-02 2.374220e-04 -3.297435e-04)) ((1.793118e-03 4.682955e-01 -5.704710e-03) (-1.399351e-05 1.846010e-03 6.732523e-05))
0.18          	((1.492577e+01 -6.469723e-03 -1.754429e-01) (8.571864e-02 2.558654e-04 -3.386583e-04)) ((1.724525e-03 4.529623e-01 -5.556662e-03) (-1.358378e-05 1.939036e-03 7.100775e-05))
0.19          	((1.455625e+01 -6.765234e-03 -1.841678e-01) (8.985342e-02 2.738028e-04 -3.466818e-04)) ((1.734491e-03 4.368134e-01 -5.300287e-03) (-1.310478e-05 2.029633e-03 7.369827e-05))
0.2           	((1.416179e+01 -6.868364e-03 -1.917775e-01) (9.386399e-02 2.932180e-04 -3.536759e-04)) ((1.719983e-03 4.199225e-01 -4.982674e-03) (-1.246603e-05 2.117569e-03 7.713230e-05))
0.21          	((1.374225e+01 -7.345922e-03 -1.978102e-01) (9.774696e-02 3.130951e-04 -3.569405e-04)) ((1.738955e-03 4.021212e-01 -4.801995e-03) (-1.181092e-05 2.202950e-03 7.971310e-05))
0.22          	((1.329545e+01 -7.944285e-03 -2.024792e-01) (1.014868e-01 3.331305e-04 -3.617337e-04)) ((1.696909e-03 3.835962e-01 -4.522272e-03) (-1.120812e-05 2.285912e-03 8.190354e-05))
0.23          	((1.282387e+01 -8.949007e-03 -2.036443e-01) (1.050681e-01 3.547239e-04 -3.640408e-04)) ((1.730115e-03 3.639655e-01 -4.346698e-03) (-1.043115e-05 2.366092e-03 8.465279e-05))
0.24          	((1.232813e+01 -9.981301e-03 -2.021908e-01) (1.084778e-01 3.749920e-04 -3.673786e-04)) ((1.709996e-03 3.434966e-01 -4.043002e-03) (-9.748382e-06 2.443984e-03 8.731487e-05))
0.25          	((1.180720e+01 -1.039934e-02 -2.038989e-01) (1.117026e-01 3.935306e-04 -3.718348e-04)) ((1.710849e-03 3.225055e-01 -3.726602e-03) (-8.879125e-06 2.519338e-03 8.992260e-05))
0.26          	((1.126129e+01 -1.090287e-02 -1.997331e-01) (1.147275e-01 4.105710e-04 -3.757226e-04)) ((1.567689e-03 3.008063e-01 -3.513310e-03) (-8.276791e-06 2.591408e-03 9.218039e-05))
0.27          	((1.069167e+01 -1.258662e-02 -1.946910e-01) (1.175351e-01 4.250423e-04 -3.783046e-04)) ((1.705149e-03 2.786864e-01 -3.392027e-03) (-7.614430e-06 2.659344e-03 9.487747e-05))
0.28          	((1.009930e+01 -1.365115e-02 -1.869439e-01) (1.201240e-01 4.391653e-04 -3.802735e-04)) ((1.664050e-03 2.556368e-01 -3.075081e-03) (-7.052940e-06 2.724555e-03 9.702177e-05))
0.29          	((9.485624e+00 -1.583481e-02 -1.772063e-01) (1.224603e-01 4.531412e-04 -3.807796e-04)) ((1.500177e-03 2.320139e-01 -2.754959e-03) (-6.497874e-06 2.785732e-03 9.993135e-05))
0.3           	((8.849612e+00 -1.662993e-02 -1.666821e-01) (1.245374e-01 4.654812e-04 -3.779188e-04)) ((1.472886e-03 2.079618e-01 -2.548623e-03) (-6.375972e-06 2.842330e-03 1.030331e-04))
0.31          	((8.190946e+00 -1.753302e-02 -1.542345e-01) (1.263501e-01 4.800024e-04 -3.739666e-04)) ((1.579652e-03 1.833209e-01 -2.275359e-03) (-6.019188e-06 2.894565e-03 1.053865e-04))
0.32          	((7.513395e+00 -1.835475e-02 -1.422713e-01) (1.278644e-01 4.893827e-04 -3.676146e-04)) ((1.523981e-03 1.582578e-01 -1.824613e-03) (-5.791037e-06 2.941790e-03 1.083554e-04))
0.33          	((6.817407e+00 -1.863567e-02 -1.289793e-01) (1.290649e-01 4.981078e-04 -3.577049e-04)) ((1.584442e-03 1.329304e-01 -1.681051e-03) (-5.628604e-06 2.982588e-03 1.108780e-04))
0.34          	((6.104607e+00 -1.983219e-02 -1.143516e-01) (1.299541e-01 5.067955e-04 -3.436380e-04)) ((1.627686e-03 1.075272e-01 -1.414913e-03) (-5.578144e-06 3.016500e-03 1.128957e-04))
0.35          	((5.374846e+00 -2.107503e-02 -9.756568e-02) (1.305131e-01 5.132995e-04 -3.268606e-04)) ((1.565707e-03 8.176587e-02 -1.169278e-03) (-5.369756e-06 3.044101e-03 1.148669e-04))
0.36          	((4.631160e+00 -2.169679e-02 -8.269494e-02) (1.307433e-01 5.178921e-04 -3.070264e-04)) ((1.522878e-03 5.574844e-02 -8.494138e-04) (-5.405185e-06 3.065177e-03 1.162240e-04))
0.37          	((3.872519e+00 -2.206524e-02 -6.623137e-02) (1.306400e-01 5.237133e-04 -2.835372e-04)) ((1.461225e-03 2.960705e-02 -3.910744e-04) (-5.056268e-06 3.078386e-03 1.171379e-04))
0.38          	((3.100791e+00 -2.230722e-02 -4.797249e-02) (1.301979e-01 5.292880e-04 -2.569372e-04)) ((1.305939e-03 3.434065e-03 -7.576005e-05) (-4.722023e-06 3.083208e-03 1.178415e-04))
0.39          	((2.317779e+00 -2.349619e-02 -3.060097e-02) (1.294217e-01 5.332773e-04 -2.274183e-04)) ((1.239937e-03 -2.262331e-02 1.823928e-04) (-4.314213e-06 3.079871e-03 1.177735e-04))
0.4           	((1.526746e+00 -2.514604e-02 -1.105835e-02) (1.283078e-01 5.368152e-04 -1.955750e-04)) ((1.216710e-03 -4.853684e-02 4.069096e-04) (-3.967291e-06 3.067955e-03 1.172251e-04))
0.41          	((7.272345e-01 -2.376837e-02 8.962862e-03) (1.268578e-01 5.377618e-04 -1.596350e-04)) ((1.031341e-03 -7.422039e-02 6.161792e-04) (-3.518909e-06 3.047592e-03 1.171128e-04))
0.42          	((-7.724270e-02 -2.309366e-02 2.598955e-02) (1.250840e-01 5.370903e-04 -1.214533e-04)) ((1.026904e-03 -9.987397e-02 8.749358e-04) (-3.026629e-06 3.018238e-03 1.163160e-04))
0.43          	((-8.855666e-01 -2.323073e-02 4.423915e-02) (1.229807e-01 5.361798e-04 -8.238925e-05)) ((1.080645e-03 -1.254330e-01 1.108578e-03) (-2.456121e-06 2.980518e-03 1.142095e-04))
0.44          	((-1.695568e+00 -2.292764e-02 6.191211e-02) (1.205607e-01 5.337119e-04 -4.152245e-05)) ((8.819060e-04 -1.506266e-01 1.447918e-03) (-1.813137e-06 2.933876e-03 1.120239e-04))
0.45          	((-2.505214e+00 -2.301437e-02 7.976363e-02) (1.178289e-01 5.311987e-04 4.038482e-06)) ((8.765031e-04 -1.757191e-01 1.586148e-03) (-1.216246e-06 2.878691e-03 1.096060e-04))
0.46          	((-3.311349e+00 -2.139329e-02 9.582510e-02) (1.147954e-01 5.282374e-04 5.213701e-05)) ((9.136200e-04 -2.001756e-01 1.857682e-03) (-6.077180e-07 2.815259e-03 1.069082e-04))
0.47          	((-4.113576e+00 -2.011695e-02 1.118678e-01) (1.114739e-01 5.248509e-04 1.051563e-04)) ((7.887680e-04 -2.242383e-01 2.333164e-03) (1.153363e-07 2.743694e-03 1.032312e-04))
0.48          	((-4.911107e+00 -1.936717e-02 1.289189e-01) (1.078731e-01 5.198843e-04 1.609708e-04)) ((7.040617e-04 -2.478359e-01 2.583091e-03) (4.747396e-07 2.664035e-03 9.938353e-05))
0.49          	((-5.699514e+00 -1.865386e-02 1.436347e-01) (1.040024e-01 5.152878e-04 2.180597e-04)) ((5.907668e-04 -2.709851e-01 2.834636e-03) (9.007688e-07 2.576415e-03 9.584459e-05))
0.5           	((-6.479044e+00 -1.796859e-02 1.547887e-01) (9.988122e-02 5.103701e-04 2.777744e-04)) ((5.353609e-04 -2.935692e-01 3.242739e-03) (1.304956e-06 2.481299e-03 9.181046e-05))
0.51          	((-7.246559e+00 -1.790009e-02 1.664506e-01) (9.552237e-02 5.051421e-04 3.390279e-04)) ((4.348659e-04 -3.156028e-01 3.475828e-03) (1.598285e-06 2.379250e-03 8.713365e-05))
0.52          	((-7.999424e+00 -1.881310e-02 1.783073e-01) (9.093753e-02 4.976999e-04 3.991538e-04)) ((2.802060e-04 -3.369491e-01 3.798338e-03) (1.559057e-06 2.270539e-03 8.255166e-05))
0.53          	((-8.737315e+00 -1.610591e-02 1.890910e-01) (8.614774e-02 4.928588e-04 4.580741e-04)) ((1.191348e-04 -3.577522e-01 4.107275e-03) (1.472499e-06 2.155776e-03 7.791810e-05))
0.54          	((-9.456344e+00 -1.334763e-02 1.986108e-01) (8.116928e-02 4.851089e-04 5.156581e-04)) ((-6.207847e-06 -3.776830e-01 4.237879e-03) (1.269915e-06 2.035559e-03 7.337658e-05))
0.55          	((-1.015488e+01 -1.323143e-02 2.065380e-01) (7.601808e-02 4.751870e-04 5.711931e-04)) ((1.191436e-06 -3.969305e-01 4.247687e-03) (9.722330e-07 1.910302e-03 6.893401e-05))
0.56          	((-1.083480e+01 -1.297620e-02 2.156746e-01) (7.071103e-02 4.636555e-04 6.263017e-04)) ((2.580269e-05 -4.152046e-01 4.631222e-03) (5.154074e-07 1.780368e-03 6.413249e-05))
0.57          	((-1.148903e+01 -1.261425e-02 2.215198e-01) (6.526776e-02 4.517546e-04 6.807538e-04)) ((-1.297559e-04 -4.326374e-01 4.977577e-03) (3.717335e-07 1.646329e-03 5.965345e-05))
0.58          	((-1.211724e+01 -1.177059e-02 2.278428e-01) (5.970168e-02 4.393919e-04 7.333415e-04)) ((-2.193474e-04 -4.494810e-01 4.885879e-03) (-7.709409e-08 1.508971e-03 5.537031e-05))
0.59          	((-1.272162e+01 -1.234055e-02 2.341809e-01) (5.402881e-02 4.283935e-04 7.848458e-04)) ((-3.319924e-04 -4.654909e-01 5.102770e-03) (-5.643263e-07 1.368532e-03 5.105585e-05))
0.6           	((-1.329680e+01 -1.282182e-02 2.376977e-01) (4.826707e-02 4.154681e-04 8.382758e-04)) ((-4.184395e-04 -4.800810e-01 5.257966e-03) (-8.360553e-07 1.225368e-03 4.684158e-05))
0.61          	((-1.384294e+01 -1.133882e-02 2.386603e-01) (4.243409e-02 4.007701e-04 8.892418e-04)) ((-4.580825e-04 -4.938336e-01 5.270480e-03) (-8.305528e-07 1.080114e-03 4.288555e-05))
0.62          	((-1.435740e+01 -9.703239e-03 2.405179e-01) (3.654246e-02 3.849620e-04 9.378513e-04)) ((-7.774740e-04 -5.069250e-01 5.308463e-03) (-2.865633e-07 9.330934e-04 3.939875e-05))
0.63          	((-1.484380e+01 -1.060711e-02 2.386946e-01) (3.060545e-02 3.665947e-04 9.867106e-04)) ((-7.823248e-04 -5.194741e-01 5.444194e-03) (4.008891e-07 7.848485e-04 3.616449e-05))
0.64          	((-1.529940e+01 -1.217283e-02 2.390798e-01) (2.463704e-02 3.476494e-04 1.037655e-03)) ((-9.385212e-04 -5.307635e-01 5.646840e-03) (9.868374e-07 6.357064e-04 3.246691e-05))
0.65          	((-1.572173e+01 -1.145888e-02 2.377743e-01) (1.865163e-02 3.292078e-04 1.088222e-03)) ((-1.120614e-03 -5.410497e-01 5.829962e-03) (1.447161e-06 4.860590e-04 2.894469e-05))
0.66          	((-1.611661e+01 -1.095507e-02 2.319670e-01) (1.265886e-02 3.100591e-04 1.138445e-03)) ((-1.325845e-03 -5.507492e-01 5.845565e-03) (1.773179e-06 3.366618e-04 2.560451e-05))
0.67          	((-1.647811e+01 -7.741308e-03 2.232986e-01) (6.669639e-03 2.915989e-04 1.191496e-03)) ((-1.752195e-03 -5.591814e-01 5.671823e-03) (2.290415e-06 1.879035e-04 2.241950e-05))
0.68          	((-1.681018e+01 -7.927940e-03 2.168443e-01) (6.917419e-04 2.724284e-04 1.244711e-03)) ((-1.998564e-03 -5.666954e-01 5.817556e-03) (3.134712e-06 4.011448e-05 1.944884e-05))
0.69          	((-1.710791e+01 -7.814136e-03 2.075803e-01) (-5.265581e-03 2.496524e-04 1.297746e-03)) ((-1.862819e-03 -5.732312e-01 6.072836e-03) (3.983119e-06 -1.059666e-04 1.662607e-05))
0.7           	((-1.738118e+01 -7.459281e-03 1.953863e-01) (-1.119652e-02 2.270156e-04 1.351474e-03)) ((-1.971411e-03 -5.786350e-01 6.815436e-03) (5.024557e-06 -2.509891e-04 1.431378e-05))
0.71          	((-1.762572e+01 -7.398323e-03 1.864234e-01) (-1.709477e-02 2.025483e-04 1.403660e-03)) ((-1.706248e-03 -5.826246e-01 6.928648e-03) (5.410624e-06 -3.944894e-04 1.233845e-05))
