# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00666667    	((2.742188e-03 3.707011e+01 -4.075799e-02) (-2.269437e-06 3.276385e-03 1.805402e-05)) ((-1.344413e+00 4.390481e-03 3.345205e-01) (-3.396600e-05 -1.056896e-06 2.394782e-05))
0.0133333     	((3.058369e-03 3.669074e+01 -4.123918e-02) (-4.975578e-06 6.542427e-03 3.660989e-05)) ((-1.331338e+00 4.611999e-03 3.311936e-01) (-6.934720e-05 -2.164095e-06 4.793578e-05))
0.02          	((4.150632e-03 3.690990e+01 -4.573440e-02) (-8.421186e-06 9.806261e-03 5.592431e-05)) ((-1.337420e+00 4.666134e-03 3.312893e-01) (-1.054067e-04 -3.253953e-06 7.169561e-05))
0.0266667     	((4.636263e-03 3.665191e+01 -4.533170e-02) (-1.261040e-05 1.304769e-02 7.639098e-05)) ((-1.326100e+00 4.711457e-03 3.285175e-01) (-1.413092e-04 -4.324278e-06 9.528353e-05))
0.0333333     	((5.132288e-03 3.638995e+01 -4.686640e-02) (-1.766151e-05 1.626219e-02 9.886286e-05)) ((-1.314549e+00 4.864844e-03 3.250199e-01) (-1.767998e-04 -5.405828e-06 1.186470e-04))
0.04          	((6.261201e-03 3.611858e+01 -4.953499e-02) (-2.350420e-05 1.945006e-02 1.241773e-04)) ((-1.302766e+00 5.002842e-03 3.209780e-01) (-2.118365e-04 -6.521236e-06 1.417801e-04))
0.0466667     	((7.209593e-03 3.582449e+01 -5.319613e-02) (-3.004567e-05 2.261258e-02 1.526210e-04)) ((-1.290135e+00 5.150768e-03 3.162306e-01) (-2.463420e-04 -7.619312e-06 1.646921e-04))
0.0533333     	((8.122390e-03 3.548885e+01 -5.796105e-02) (-3.756628e-05 2.574955e-02 1.843663e-04)) ((-1.275757e+00 5.381229e-03 3.106799e-01) (-2.801978e-04 -8.689744e-06 1.874839e-04))
0.06          	((9.571048e-03 3.510846e+01 -6.304441e-02) (-4.570722e-05 2.886042e-02 2.199424e-04)) ((-1.259493e+00 5.522441e-03 3.043860e-01) (-3.131504e-04 -9.816848e-06 2.102790e-04))
0.0666667     	((1.106573e-02 3.468471e+01 -6.830940e-02) (-5.484830e-05 3.194299e-02 2.592220e-04)) ((-1.241391e+00 5.673332e-03 2.972896e-01) (-3.450746e-04 -1.092687e-05 2.331702e-04))
0.0733333     	((1.263919e-02 3.421855e+01 -7.494926e-02) (-6.462895e-05 3.499336e-02 3.021788e-04)) ((-1.221389e+00 5.812864e-03 2.894714e-01) (-3.757466e-04 -1.209947e-05 2.561587e-04))
