# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((1.848185e-03 2.481842e+01 -2.709472e-02) (-2.481644e-06 3.209654e-03 1.733578e-05)) ((-8.994571e-01 2.954048e-03 2.232826e-01) (-3.294506e-05 -1.045247e-06 2.344711e-05))
0.02          	((2.090699e-03 2.449669e+01 -2.767466e-02) (-5.110028e-06 6.439915e-03 3.580923e-05)) ((-8.878887e-01 3.088982e-03 2.207764e-01) (-6.768730e-05 -2.130271e-06 4.712656e-05))
0.03          	((2.899767e-03 2.464774e+01 -3.059731e-02) (-8.571046e-06 9.673875e-03 5.565316e-05)) ((-8.916504e-01 3.149099e-03 2.207370e-01) (-1.032359e-04 -3.209382e-06 7.061420e-05))
0.04          	((3.428797e-03 2.449752e+01 -3.119718e-02) (-1.304730e-05 1.288595e-02 7.745262e-05)) ((-8.845998e-01 3.216211e-03 2.187359e-01) (-1.386546e-04 -4.281706e-06 9.390110e-05))
0.05          	((4.040282e-03 2.435080e+01 -3.337300e-02) (-1.852094e-05 1.607166e-02 1.022217e-04)) ((-8.776397e-01 3.364041e-03 2.162045e-01) (-1.736312e-04 -5.382777e-06 1.169375e-04))
0.06          	((4.872229e-03 2.420447e+01 -3.543631e-02) (-2.526172e-05 1.923264e-02 1.310369e-04)) ((-8.705729e-01 3.526153e-03 2.132238e-01) (-2.080415e-04 -6.465850e-06 1.397673e-04))
0.07          	((5.833835e-03 2.404983e+01 -3.978096e-02) (-3.231417e-05 2.237037e-02 1.641231e-04)) ((-8.630644e-01 3.695042e-03 2.096259e-01) (-2.417079e-04 -7.594022e-06 1.625858e-04))
0.08          	((6.925202e-03 2.387480e+01 -4.428490e-02) (-4.092984e-05 2.548528e-02 2.019239e-04)) ((-8.545128e-01 3.846371e-03 2.054475e-01) (-2.743428e-04 -8.766825e-06 1.854388e-04))
0.09          	((8.307335e-03 2.367650e+01 -4.960875e-02) (-5.009430e-05 2.857508e-02 2.443864e-04)) ((-8.447811e-01 3.991966e-03 2.006649e-01) (-3.057836e-04 -9.977365e-06 2.084820e-04))
0.1           	((9.839561e-03 2.345622e+01 -5.608232e-02) (-6.140271e-05 3.163662e-02 2.920673e-04)) ((-8.337579e-01 4.172776e-03 1.952615e-01) (-3.358005e-04 -1.119296e-05 2.318465e-04))
