# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((3.277488e-04 4.972999e-04 1.785149e+01) (5.284977e-09 -2.405667e-07 1.381876e-03)) ((-1.014686e-08 6.143621e-09 -9.684382e-10) (2.110054e-08 2.625326e-08 6.623091e-10))
0.02          	((7.916555e-05 1.586587e-04 1.762579e+01) (1.782862e-08 -3.959452e-07 2.760139e-03)) ((-2.225370e-08 1.899681e-08 -3.087647e-10) (4.061323e-08 5.414478e-08 1.046952e-09))
0.03          	((2.550572e-04 -1.398586e-04 1.769565e+01) (3.372992e-08 -5.390851e-07 4.146569e-03)) ((-2.068797e-09 -1.353600e-09 2.813339e-10) (5.918236e-08 8.066972e-08 1.324956e-09))
0.04          	((4.092961e-05 -7.356882e-05 1.757546e+01) (5.541420e-08 -6.721737e-07 5.539818e-03)) ((-7.675240e-09 4.600705e-09 1.141718e-10) (7.856085e-08 1.085068e-07 1.594556e-09))
0.05          	((2.451507e-06 1.042583e-04 1.742782e+01) (6.933946e-08 -7.970948e-07 6.940364e-03)) ((-1.294011e-08 8.883678e-09 4.852862e-11) (9.933987e-08 1.342929e-07 1.985561e-09))
0.06          	((-2.648362e-05 -6.045404e-06 1.726080e+01) (9.396029e-08 -9.157145e-07 8.348384e-03)) ((-8.728976e-09 6.078617e-09 9.041553e-11) (1.215590e-07 1.584360e-07 2.371708e-09))
0.07          	((6.797077e-06 -4.788524e-05 1.706787e+01) (1.277937e-07 -1.018580e-06 9.763232e-03)) ((-1.056596e-08 6.748018e-09 1.320772e-10) (1.405400e-07 1.784011e-07 2.926380e-09))
0.08          	((-3.609402e-05 -8.151461e-05 1.684555e+01) (1.470768e-07 -1.132021e-06 1.118422e-02)) ((-8.244889e-09 4.990189e-09 1.324214e-10) (1.662803e-07 2.026431e-07 3.696259e-09))
0.09          	((-6.240264e-05 -6.121943e-05 1.659308e+01) (1.581057e-07 -1.245845e-06 1.260874e-02)) ((-1.159482e-08 7.609837e-09 8.170478e-11) (1.882303e-07 2.294919e-07 4.412759e-09))
0.1           	((2.242269e-05 -1.100384e-04 1.631113e+01) (1.951003e-07 -1.347478e-06 1.403576e-02)) ((-4.873819e-09 2.804248e-09 2.107473e-10) (2.178729e-07 2.481687e-07 5.072640e-09))
0.11          	((9.724552e-07 -5.695203e-05 1.600037e+01) (2.448802e-07 -1.425298e-06 1.546193e-02)) ((-2.764314e-09 -5.827383e-10 3.998855e-10) (2.463117e-07 2.663074e-07 5.537703e-09))
0.12          	((1.105976e-05 -1.402128e-04 1.566114e+01) (2.910176e-07 -1.505366e-06 1.688525e-02)) ((-3.161544e-09 -2.414182e-10 3.175785e-10) (2.674436e-07 2.886717e-07 5.842971e-09))
0.13          	((-3.733250e-05 -4.932757e-05 1.529418e+01) (3.398878e-07 -1.561645e-06 1.830273e-02)) ((-3.467427e-09 5.576454e-10 3.108730e-10) (2.954157e-07 2.995072e-07 6.982593e-09))
0.14          	((-6.656560e-05 -8.419944e-05 1.489996e+01) (4.272584e-07 -1.590811e-06 1.971205e-02)) ((-1.229143e-09 -1.247017e-09 3.053115e-10) (3.418511e-07 2.952236e-07 7.984211e-09))
0.15          	((-3.230705e-05 -6.021295e-05 1.447904e+01) (5.807538e-07 -1.544799e-06 2.111104e-02)) ((4.933411e-09 -7.298112e-09 1.192532e-10) (4.050838e-07 2.765085e-07 8.725351e-09))
0.16          	((-2.368933e-04 1.721690e-04 1.403239e+01) (6.779104e-07 -1.536741e-06 2.249892e-02)) ((2.978381e-09 -5.342190e-09 -4.194250e-11) (4.485699e-07 2.397477e-07 9.825329e-09))
0.17          	((-1.118796e-04 3.721159e-05 1.356076e+01) (7.942722e-07 -1.521589e-06 2.387815e-02)) ((3.071911e-09 -5.064775e-09 2.330863e-10) (5.048462e-07 2.215970e-07 1.016544e-08))
0.18          	((-4.795651e-05 2.661399e-04 1.306523e+01) (9.621711e-07 -1.436093e-06 2.524405e-02)) ((4.177500e-09 -5.895920e-09 1.032627e-10) (5.676364e-07 2.059086e-07 1.080560e-08))
0.19          	((-2.146550e-04 3.102619e-04 1.254666e+01) (1.106750e-06 -1.274568e-06 2.659334e-02)) ((6.719102e-09 -8.529109e-09 -3.251132e-11) (5.668399e-07 2.376354e-07 1.128434e-08))
0.2           	((-1.472276e-04 -9.341517e-06 1.200602e+01) (1.234316e-06 -1.187256e-06 2.792107e-02)) ((7.060523e-09 -9.140142e-09 3.509093e-10) (6.104226e-07 2.434289e-07 1.173423e-08))
0.21          	((-8.659860e-05 2.204644e-04 1.144412e+01) (1.303806e-06 -9.988068e-07 2.922359e-02)) ((5.408556e-09 -7.391770e-09 4.869940e-10) (5.863663e-07 2.347127e-07 1.212854e-08))
0.22          	((2.843778e-05 2.728036e-05 1.086199e+01) (1.437772e-06 -9.256508e-07 3.051036e-02)) ((5.903316e-09 -8.420340e-09 7.244565e-10) (6.416475e-07 2.217541e-07 1.264920e-08))
0.23          	((7.598596e-06 -6.362936e-05 1.026061e+01) (1.574128e-06 -9.023135e-07 3.176729e-02)) ((6.204801e-09 -8.917292e-09 6.390727e-10) (7.217944e-07 2.037850e-07 1.320058e-08))
0.24          	((-2.630679e-05 -3.578521e-05 9.640980e+00) (1.706608e-06 -9.091211e-07 3.298616e-02)) ((5.632293e-09 -8.446509e-09 6.252374e-10) (7.964212e-07 1.956556e-07 1.362634e-08))
0.25          	((8.957756e-05 -4.008538e-05 9.004286e+00) (1.782898e-06 -9.316692e-07 3.415880e-02)) ((5.528039e-09 -8.656934e-09 8.472474e-10) (8.757459e-07 1.812865e-07 1.413628e-08))
0.26          	((3.747028e-05 3.062912e-05 8.351541e+00) (1.862372e-06 -9.787955e-07 3.528314e-02)) ((2.874879e-09 -6.119757e-09 7.216920e-10) (9.538481e-07 1.528095e-07 1.464810e-08))
0.27          	((3.053154e-05 -6.421855e-05 7.683879e+00) (1.899599e-06 -1.033992e-06 3.635626e-02)) ((7.968409e-09 -1.131506e-08 5.502973e-10) (1.017569e-06 1.265236e-07 1.491816e-08))
0.28          	((1.664538e-05 -6.795627e-05 7.002752e+00) (1.854650e-06 -1.111163e-06 3.738076e-02)) ((9.463322e-09 -1.260428e-08 3.374250e-10) (1.088940e-06 7.731744e-08 1.507558e-08))
0.29          	((-1.236024e-05 -7.670285e-05 6.309177e+00) (1.653997e-06 -7.653659e-07 3.836386e-02)) ((1.084682e-08 -1.380653e-08 2.374355e-10) (1.200894e-06 -3.018001e-08 1.524903e-08))
