# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.00666667    	((3.514904e-04 4.812823e-04 2.673980e+01) (2.201111e-08 -2.058160e-07 1.394962e-03)) ((-9.722487e-09 4.485701e-09 -9.203611e-10) (2.221595e-08 2.661023e-08 5.506986e-10))
0.0133333     	((1.134852e-04 3.137711e-04 2.642719e+01) (4.029251e-08 -3.487154e-07 2.780294e-03)) ((-3.667441e-08 3.148963e-08 -3.693430e-10) (4.310144e-08 5.420201e-08 9.023780e-10))
0.02          	((3.878375e-04 -2.309326e-04 2.653531e+01) (5.569324e-08 -4.949941e-07 4.171209e-03)) ((-2.750350e-09 -2.915265e-09 4.078101e-10) (6.202289e-08 8.227573e-08 1.124006e-09))
0.0266667     	((1.430210e-04 -2.055321e-05 2.634975e+01) (7.890240e-08 -6.185660e-07 5.565289e-03)) ((-9.969957e-09 5.706166e-09 -2.043552e-11) (8.035024e-08 1.098788e-07 1.385806e-09))
0.0333333     	((1.628437e-04 -3.517849e-05 2.612324e+01) (1.095416e-07 -7.393411e-07 6.962119e-03)) ((-2.112215e-08 1.648820e-08 2.748837e-10) (1.002657e-07 1.372627e-07 1.697077e-09))
0.04          	((-9.812282e-05 2.229935e-04 2.586819e+01) (1.322862e-07 -8.454095e-07 8.362058e-03)) ((-1.497577e-08 9.632758e-09 -1.818783e-10) (1.200536e-07 1.614629e-07 2.038336e-09))
0.0466667     	((1.346396e-05 2.135680e-05 2.557560e+01) (1.556020e-07 -9.654233e-07 9.765324e-03)) ((-1.412053e-08 9.333355e-09 3.673612e-10) (1.424867e-07 1.874986e-07 2.449017e-09))
0.0533333     	((4.529810e-05 -8.535339e-05 2.523948e+01) (1.670878e-07 -1.091600e-06 1.117179e-02)) ((-1.558156e-08 1.086917e-08 3.244908e-10) (1.582647e-07 2.208668e-07 2.931674e-09))
0.06          	((2.801139e-05 -2.354845e-05 2.485871e+01) (1.831029e-07 -1.226971e-06 1.258028e-02)) ((-1.402535e-08 1.005553e-08 3.694867e-10) (1.668935e-07 2.564640e-07 3.634398e-09))
